alvo,tag_alvo,tag_dependente_prevalente,amostra_termos,sentenca_media_hdbscan
lula,PROPN,ADP | case,"['de o', 'de', 'com', 'em o', 'por o', 'para', 'a o', 'por', 'pro', 'contra']","Aqui só foi aberta por conta de muita pressão dos deputados que estão aqui agora e não acho que foram embora, mas que estão aqui agora que assinaram essa CPM- e só teve a sua abertura quando o general do Lula foi visto numa imagem vazada dentro do Planalto."
lula,PROPN,DET | det,"['o', 'próprio', 'a o', 'esse', 'um', 'qual', 'seu']","E óbvio que quem dera, Como eu disse lá no começo do vídeo, se o Lula estivesse simplesmente roubado grana- não foi só isso o cara- né através da educação, através da implantação, né de, e esses, como ele mesmo diz, né nos vídeos anteriores, e conseguiram destruir simplesmente o Brasil que hoje o brasileiro"
lula,PROPN,VERB | ROOT,"['ter', 'falar', 'fazer', 'votar', 'parar', 'dizer', 'gastar', 'colocar', 'vetar', 'dar']","Até o próprio Lula, o des condenado, disse que isso só pode ter vindo da cabeça de Satanás: banheiro unissex."
lula,PROPN,NOUN | nmod,"['presidente', 'governo', 'ladrão', 'ministro', 'irmão', 'ano', 'eleitor', 'veto', 'bandido', 'viagem']","O projeto de vocês para educação é acabar primeiro com o governo do presidente Lula, desmoralizar o presidente, querer desmoralizar a ministra aqui, querer tirar todo tipo de espaço para uma conversa de alto nível em relação a essa questão, para poder derrubar o presidente Lula e voltar com a agenda de vocês, que é a agenda dos cinco ministros que nada entregaram pra educação que a agenda, por exemplo, Presidente Nicolas."
lula,PROPN,PUNCT | punct,"[',', '.', '?', '""']","Quando você tem ali por exemplo um amigo, né, do Lula, Daniel Ortega, cortando o sinal da CNN no seu país, impedindo com que pessoas ingressem em uma missa por conta ali simplesmente uma ideologia política."
lula,PROPN,NOUN | nsubj,"['presidente', 'governo', 'ministro', 'cara', 'veto', 'popularidade', 'pai', 'doador', 'ex-ministro', 'culpa']","Deputado que nós estos procurando trabalhar, quando a gente amplia em 100 escolas técnicas federais pro aluno, porque o os institutos federais for um grande política exitosa que esse país criou e o presidente Lula foi o presidente que mais investiu nas universidades e ampliou e deu acesso a institutos federais."
lula,PROPN,VERB | advcl,"['parar', 'falar', 'chamei', 'ganhar', 'chamar', 'ter', 'saber', 'prometer', 'dizer', 'autorizar']","E óbvio que quem dera, Como eu disse lá no começo do vídeo, se o Lula estivesse simplesmente roubado grana- não foi só isso o cara- né através da educação, através da implantação, né de, e esses, como ele mesmo diz, né nos vídeos anteriores, e conseguiram destruir simplesmente o Brasil que hoje o brasileiro"
lula,PROPN,ADV | advmod,"['aí', 'não', 'aqui', 'fora', 'agora', 'ali', 'então', 'somente', 'mesmo', 'junto']","Né que seja de esquerda, já era nossa vida, mas é o jamones pode fazer enfrentar do lado ali do Lula e da esquerda, né, mas enfim, eu vi Aí que o Sérgio Camargo falou que já vai tomar as medidas deles, aí é judiciais, contra o André janones."
lula,PROPN,VERB | acl:relcl,"['fazer', 'falar', 'chamar', 'receber', 'gastar', 'parar', 'pedir', 'subir', 'dizer', 'querer']","E para o outro lado você tem o Lula que faz parte disso daqui ó, foram de São Paulo que durante muito tempo né foi taxado aí como uma conspiração da direita e hoje com site e tudo mais."
lula,PROPN,NOUN | obj,"['governo', 'presidente', 'fala', 'veto', 'campanha', 'despesa', 'vitória', 'marionete', 'medida', 'merda']","O projeto de vocês para educação é acabar primeiro com o governo do presidente Lula, desmoralizar o presidente, querer desmoralizar a ministra aqui, querer tirar todo tipo de espaço para uma conversa de alto nível em relação a essa questão, para poder derrubar o presidente Lula e voltar com a agenda de vocês, que é a agenda dos cinco ministros que nada entregaram pra educação que a agenda, por exemplo, Presidente Nicolas."
lula,PROPN,NOUN | obl,"['governo', 'presidente', 'fala', 'época', 'bandido', 'lugar', 'caso', 'colo', 'casa', 'contrário']","Troca de favores, propinas, esquemas enfim que basicamente foi assim no primeiro governo do Lula, que ele se utilizou para poder governar foi através da compra, né de votos, através do mensalão, e agora tá fazendo de uma forma institucionalizada."
lula,PROPN,PROPN | flat:name,"['ladrão', 'the', '>', 'morais', 'and', 'fidel', 'castro', 'founded', 's.', 'paulo']","Aprendeu direitinho que até pouco tempo não adianta querer me colocar uma estrela Estrela do PT, né, sendo que agora tá de mãos dadas aí com o Lula Previdência Social, Paulinho da força que foi condenado aí há 10 anos e dois meses de prisão pelo STF, mas que o próprio STF em suspendeu a condenação do Paulinho da força."
lula,PROPN,AUX | cop,"['ser', 'estar', 'tá', 'tar']","Agora o FBI junto com a polícia federal, para não dizer que foi só a polícia federal e que ela é do Lula, porque agora é assim."
lula,PROPN,VERB | ccomp,"['fazer', 'falar', 'ter', 'investigar', 'cortar', 'ficar', 'votar', 'ganhar', 'achar', 'considerar']","Ele também eu vejo que por exemplo segundo turno Bolsonaro e Lula, a pessoa ela vai fazer ali um peso, né, peso e contrapeso, e ver que puxo o Lula."
lula,PROPN,NOUN | appos,"['presidente', 'governo', 'amigo', 'perdão', 'ministro', 'ex-ministro', 'lugar', 'viagem', 'linha', 'opinião']","Tudo é polític, presidente Lula, que naquelas reuniões ministeriais que a gente acompanhou no fim de 2023, chegou a dizer aí várias vezes que o foco para 2024 seria viajar pelo Brasil, participar de eventos em todas as regiões."
lula,PROPN,VERB | conj,"['querer', 'prender', 'usar', 'ter', 'operacionalizar', 'soltar', 'poder', 'apoiar', 'superar', 'char']","Inclusive, eu durante a campanha no segundo turno tive que postar as minhas redes sociais dizendo que o Lula era provida por uma determinação do TSE porque isso era fake News, e agora o Lula mente novamente ao seu povo, é o estelionatário eleitoral."
lula,PROPN,NOUN | conj,"['presidente', 'esquerda', 'governo', 'bandido', 'derrubada', 'companhia', 'retrato', 'vice-presidente', 'política', 'mídia']","Se você faz um monte de coisa aí, rede social recebe notícias e isso porque você tem uma liberdade midiática e de imprensa, algo que muitas vezes é colocado por Bolsonaro, cara carrancudo, que antes democrático, mas que o Lula tá no plano de governo, por exemplo, do PT, do Haddad, que ele quer regulamentar mídia e já falou várias vezes o número que ele também quer regulamentar mim."
lula,PROPN,NOUN | ROOT,"['prisão', 'governo', 'ministro', 'rua', 'parabéns', 'embaixo', 'irmão', 'prazer', 'presidente', 'ladrão']","E quem negou essa classificação não fomos nós, foi o governo Lula, que negou colocar ambas organizações criminosas como terroristas e tá dando no que deu."
lula,PROPN,VERB | xcomp,"['colocar', 'matar', 'votar', 'falar', 'gritar', 'dar', 'fazer', 'escolher', 'parar', 'capturar']","Então assim, é para quem tem aí no mínimo dois neurônios já sabe que essa eleição está se polarizada entre Lula e Bolsonaro, e de fato, se você continuar acreditando em Lula, realmente não tem muito o que fazer por você."
lula,PROPN,PROPN | conj,"['dilma', 'bolsonaro', 'pt', 'janja', 'fora', 'morais', 'trump', 'zanin', 'companhia', 'stf']","Em 1990 não houve a criação do Foro de São Paulo, né, junto com o Lula e Fidel Castro."
lula,PROPN,PRON | nsubj,"['que', 'nós', 'você', 'ele', 'ela', 'esse', 'de aqui', 'quanto', 'eu', 'isso']","Agora o FBI junto com a polícia federal, para não dizer que foi só a polícia federal e que ela é do Lula, porque agora é assim."
lula,PROPN,VERB | acl,"['dar', 'condenar', 'fazer', 'governar', 'indicar', 'falar', 'criticar', 'inventar', 'prender', 'implantar']","Aprendeu direitinho que até pouco tempo não adianta querer me colocar uma estrela Estrela do PT, né, sendo que agora tá de mãos dadas aí com o Lula Previdência Social, Paulinho da força que foi condenado aí há 10 anos e dois meses de prisão pelo STF, mas que o próprio STF em suspendeu a condenação do Paulinho da força."
lula,PROPN,CCONJ | cc,"['e', 'ou']","Ele também eu vejo que por exemplo segundo turno Bolsonaro e Lula, a pessoa ela vai fazer ali um peso, né, peso e contrapeso, e ver que puxo o Lula."
lula,PROPN,PROPN | nmod,"['direitos', 'presidente', 'pt', 'algós', 'stf', 'silva', 'bolsonaro', 'justiça', 'gsi', 'minas']","O Ministro Camilo Santana com certeza foi uma escolha muito correta do Presidente Lula e Vossa Excelência traz pra gente uma experiência não apenas do Ceará, mas uma experiência que o Brasil inteiro tem como referência."
lula,PROPN,PROPN | nsubj,"['luiz', 'lula', 'governo', 'alexandre', 'instituto', 'lu', 'flávio', 'general', 'senhor', 'ministério']","Se o seu homem fosse Luiz Inácio Lula da Silva, condenado por corrupção passiva, lavagem dinheiro, o senhor estaria solto até então."
lula,PROPN,PROPN | ROOT,"['lula', 'when', 'eh', 'susana', 'alô', 'pera', 'bolsonaro', 'brasil', 'pt', 'poderoso']","Susana Ristofen, Champinha, Marcola, Fernandinho Beiramar e Lula."
lula,PROPN,PROPN | appos,"['luiz', 'it', 'bolsonaro', 'stf', 'inácio', 'terra', 'paulinho', 'daniel', 'leco', 'dilma']","Aprendeu direitinho que até pouco tempo não adianta querer me colocar uma estrela Estrela do PT, né, sendo que agora tá de mãos dadas aí com o Lula Previdência Social, Paulinho da força que foi condenado aí há 10 anos e dois meses de prisão pelo STF, mas que o próprio STF em suspendeu a condenação do Paulinho da força."
deus,PROPN,ADP | case,"['de', 'a', 'com', 'para', 'por', 'em', 'de o', 'graças', 'a o', 'sobre']","E, falando sobre intercessão, eu queria convidar esse povo, aqui agora, a orar conosco e entender, fazer os entender pelo Espírito de Deus, porque só ele pode nos levar esse entendimento de que, sim, a sua oração, irmãzinha, você aí, ó que tá aí do outro lado agora pensando Poxa, Camila, mas Deus vai ouvir a minha oração e ela foi uma oração de alguém que tem procurado né caminhar em retidão diante do Senhor."
deus,PROPN,VERB | ROOT,"['abençoar', 'ter', 'falar', 'saber', 'querer', 'dar', 'abençoe', 'poder', 'fazer', 'dizer']","Deus, eu quero agora apresentar diante de ti, em primeiro lugar, o Donald trump, grande peso sobre ele, ó Deus, que guerra espiritual que tá sendo travada, mas nós queremos declarar a Deus que o Senhor é senhor da terra."
deus,PROPN,PUNCT | punct,"[',', '.', ':', '?', ';', '“', '""', '...', 'né', '”']","Deus, eu quero agora apresentar diante de ti, em primeiro lugar, o Donald trump, grande peso sobre ele, ó Deus, que guerra espiritual que tá sendo travada, mas nós queremos declarar a Deus que o Senhor é senhor da terra."
deus,PROPN,DET | det,"['o', 'meu', 'um', 'nosso', 'seu', 'esse', 'próprio', 'cujo', 'outro', 'a']","Eu creio que essa palavra, ela é muito atual aos nossos corações porque eu creio que Deus, ele chamando sua igreja, o seu povo, para um tempo de arrependimento, se nós declaramos que essa nação é majoritariamente cristã e temos visto tantas coisas contrárias à vontade do nosso Deus, eu creio que esse momento de nós estamos cada vez mais arrependidos perante o senhor e pedindo a ele que venha trazer tempos de refrigério, tem mistão, para Que Deus traga mais prova, para que ele fique mais firme do Senhor."
deus,PROPN,VERB | acl:relcl,"['fazer', 'ter', 'dar', 'querer', 'colocar', 'abençoar', 'chamar', 'falar', 'amar', 'levantar']","Então você me representa e eu tô muito honrado de poder estar aqui para orar, para falar com esse povo maravilhoso que ama a nação, que acredita no Deus todo-poderoso para a gente aqui e acreditar que, por mais que o mal se alastre do Senhor vem a salvação também."
deus,PROPN,VERB | advcl,"['querer', 'ter', 'falar', 'dar', 'pedir', 'abençoar', 'usar', 'ajudar', 'levantar', 'fazer']","Eu creio que essa palavra, ela é muito atual aos nossos corações porque eu creio que Deus, ele chamando sua igreja, o seu povo, para um tempo de arrependimento, se nós declaramos que essa nação é majoritariamente cristã e temos visto tantas coisas contrárias à vontade do nosso Deus, eu creio que esse momento de nós estamos cada vez mais arrependidos perante o senhor e pedindo a ele que venha trazer tempos de refrigério, tem mistão, para Que Deus traga mais prova, para que ele fique mais firme do Senhor."
deus,PROPN,NOUN | obj,"['palavra', 'presença', 'vontade', 'glória', 'nome', 'coração', 'pessoa', 'bondade', 'senhor', 'amor']","E falo de todo meu coração, analisando a doutrina bíblica, se nós entendemos uma arma que o inferno pode usar contra a Igreja para que ela não vê não vivos propósito de Deus e não veja ela sendo instrumento de Deus em sua nação, é roubado no meio da igreja esse poder de ressurreição e vida."
deus,PROPN,NOUN | nmod,"['céu', 'coração', 'homem', 'vida', 'amor', 'palavra', 'presença', 'poder', 'terra', 'graça']","Nós temos certa autoridade para falar sobre isso porque estamos vivendo família e eu quero declarar sobre a sua vida, você que tá assistindo também, que toda mentira seja quebrada, todo o medo de formar família, de ter filhos, caia por terra hoje, em nome de Jesus, e que você acorde com esse propósito de Deus e também não permita mais que o inimigo entre na sua família, você que já é pai, já é mãe e tem filhos, né, ou você que é filho e que tem visto aí as ideologias desse tempo, né as mentiras desse século, te separando, te afastando da sua família, né, porque isso que o inimigo faz a trás, divisão dentro das casas, por causa dessas mentiras."
