alvo,tag_alvo,pct_tag_alvo,tag_dependente_prevalente,pct_tag_dependente,amostra_termos,pct_amostra,sentenca_media_hdbscan
deus,PROPN,96.2%,ADP | case,20.5%,"['de', 'a', 'com', 'para', 'por', 'em', 'graças', 'do', 'ao', 'sobre']",97.8%,"E, falando sobre intercessão, eu queria convidar esse povo, aqui agora, a orar conosco e entender, fazer os entender pelo Espírito de Deus, porque só ele pode nos levar esse entendimento de que, sim, a sua oração, irmãzinha, você aí, ó que tá aí do outro lado agora pensando Poxa, Camila, mas Deus vai ouvir a minha oração e ela foi uma oração de alguém que tem procurado né caminhar em retidão diante do Senhor."
deus,PROPN,96.2%,VERB | ROOT,10.2%,"['abençoe', 'sabe', 'tem', 'pode', 'falou', 'quer', 'deu', 'fala', 'levanta', 'louvo']",31.0%,"Deus, eu quero agora apresentar diante de ti, em primeiro lugar, o Donald trump, grande peso sobre ele, ó Deus, que guerra espiritual que tá sendo travada, mas nós queremos declarar a Deus que o Senhor é senhor da terra."
deus,PROPN,96.2%,PUNCT | punct,7.8%,"[',', '.', ':', '?', ';', '“', '""', '...', 'né', '”']",99.6%,"Deus, eu quero agora apresentar diante de ti, em primeiro lugar, o Donald trump, grande peso sobre ele, ó Deus, que guerra espiritual que tá sendo travada, mas nós queremos declarar a Deus que o Senhor é senhor da terra."
deus,PROPN,96.2%,DET | det,5.3%,"['o', 'meu', 'um', 'nosso', 'seu', 'esse', 'próprio', 'cujo', 'a', 'outro']",98.4%,"Eu creio que essa palavra, ela é muito atual aos nossos corações porque eu creio que Deus, ele chamando sua igreja, o seu povo, para um tempo de arrependimento, se nós declaramos que essa nação é majoritariamente cristã e temos visto tantas coisas contrárias à vontade do nosso Deus, eu creio que esse momento de nós estamos cada vez mais arrependidos perante o senhor e pedindo a ele que venha trazer tempos de refrigério, tem mistão, para Que Deus traga mais prova, para que ele fique mais firme do Senhor."
deus,PROPN,96.2%,VERB | acl:relcl,4.9%,"['tem', 'deu', 'quer', 'abençoe', 'colocou', 'fazer', 'fazendo', 'fez', 'feito', 'faz']",28.9%,"Então você me representa e eu tô muito honrado de poder estar aqui para orar, para falar com esse povo maravilhoso que ama a nação, que acredita no Deus todo-poderoso para a gente aqui e acreditar que, por mais que o mal se alastre do Senhor vem a salvação também."
deus,PROPN,96.2%,VERB | advcl,3.7%,"['quiser', 'abençoe', 'tem', 'deu', 'dá', 'pedir', 'quer', 'pedindo', 'falou', 'chamou']",28.2%,"Eu creio que essa palavra, ela é muito atual aos nossos corações porque eu creio que Deus, ele chamando sua igreja, o seu povo, para um tempo de arrependimento, se nós declaramos que essa nação é majoritariamente cristã e temos visto tantas coisas contrárias à vontade do nosso Deus, eu creio que esse momento de nós estamos cada vez mais arrependidos perante o senhor e pedindo a ele que venha trazer tempos de refrigério, tem mistão, para Que Deus traga mais prova, para que ele fique mais firme do Senhor."
deus,PROPN,96.2%,NOUN | obj,3.3%,"['palavra', 'presença', 'vontade', 'glória', 'nome', 'bondade', 'coração', 'senhor', 'pessoas', 'amor']",37.2%,"E falo de todo meu coração, analisando a doutrina bíblica, se nós entendemos uma arma que o inferno pode usar contra a Igreja para que ela não vê não vivos propósito de Deus e não veja ela sendo instrumento de Deus em sua nação, é roubado no meio da igreja esse poder de ressurreição e vida."
deus,PROPN,96.2%,NOUN | nmod,2.9%,"['céu', 'coração', 'vida', 'amor', 'palavra', 'presença', 'poder', 'terra', 'homens', 'graça']",29.7%,"Nós temos certa autoridade para falar sobre isso porque estamos vivendo família e eu quero declarar sobre a sua vida, você que tá assistindo também, que toda mentira seja quebrada, todo o medo de formar família, de ter filhos, caia por terra hoje, em nome de Jesus, e que você acorde com esse propósito de Deus e também não permita mais que o inimigo entre na sua família, você que já é pai, já é mãe e tem filhos, né, ou você que é filho e que tem visto aí as ideologias desse tempo, né as mentiras desse século, te separando, te afastando da sua família, né, porque isso que o inimigo faz a trás, divisão dentro das casas, por causa dessas mentiras."
deus,PROPN,96.2%,VERB | conj,2.5%,"['tem', 'abençoe', 'sabe', 'falou', 'pode', 'deu', 'continua', 'deixar', 'dar', 'falar']",21.2%,"E, falando sobre intercessão, eu queria convidar esse povo, aqui agora, a orar conosco e entender, fazer os entender pelo Espírito de Deus, porque só ele pode nos levar esse entendimento de que, sim, a sua oração, irmãzinha, você aí, ó que tá aí do outro lado agora pensando Poxa, Camila, mas Deus vai ouvir a minha oração e ela foi uma oração de alguém que tem procurado né caminhar em retidão diante do Senhor."
deus,PROPN,96.2%,NOUN | nsubj,2.5%,"['palavra', 'senhor', 'glória', 'amor', 'povo', 'presença', 'pai', 'espírito', 'propósito', 'poder']",39.7%,"E nesse momento eu quero que as pessoas que estão em casa, os intercessores- temos cristãos, temos pessoas que não são cristãs, temos visitantes- que o espírito santo de Deus possa tocar no seu coração e que nessa noite algo novo possa acontecer na sua vida, que você possa ter uma experiência sobrenatural com a presença do nosso Deus."
