"";"";"";"";"orientação";""
"1";"orientação";"2.57052416892572";"-1.87131265404742";"0.919240248669767";"97"
"2";"proposta";"2.14883321800759";"-1.29628471488762";"0.902952157837027";"114"
"3";"educacional";"2.62724668605667";"-1.9061671943569";"0.895181780386821";"126"
"4";"reunião";"1.9360283490181";"-0.954831784328624";"0.892717930266737";"131"
"5";"audiência";"2.30668266481889";"-1.40894625799489";"0.891997863988746";"134"
"6";"debater";"2.22285988249041";"-1.37218673528114";"0.887989593310291";"141"
"7";"garantir";"1.80682806878812";"-1.12561188065677";"0.884840685252243";"147"
"8";"municipal";"2.07148938184302";"-1.14803770407115";"0.879864341844883";"160"
"9";"profissional";"2.25601882413031";"-1.66714039948896";"0.876336606696878";"176"
"10";"opositor";"0.587618814214074";"3.07308763846054";"0.862769585156196";"212"
"11";"adoração";"-2.04071195872839";"-1.86352134933723";"0.84992041884045";"239"
"12";"avivamento";"-2.14373172657698";"-2.06818311042308";"0.849183032646868";"240"
"13";"diante";"-1.15168784789638";"-1.08654885693084";"0.847247992715585";"247"
"14";"passivo";"0.441706252596257";"3.30310591633726";"0.845596336084084";"254"
"15";"injustamente";"0.478507691169925";"2.65045695209351";"0.844261228548179";"265"
"16";"jogar";"-0.326628943243466";"1.07153726352303";"0.82464992497495";"310"
"17";"economia";"-0.0817328343108296";"1.23114997366144";"0.824609020493447";"311"
"18";"mentira";"-0.084386445010321";"1.31432282223417";"0.823703225758902";"316"
"19";"conservadorismo";"-0.184972584118306";"1.44483099250305";"0.823375621398035";"318"
"20";"socialismo";"-0.134657656754526";"1.62443172237782";"0.823317397000941";"319"
