"";"";"";"";"em";""
"1";"em";"-0.0406009215395319";"-0.0702362258520586";"0.870205844742526";"100"
"2";"alguma";"-0.0163756489133485";"0.22393808882408";"0.867933251890088";"101"
"3";"outro";"0.125768968759478";"0.161520722785432";"0.84587362156628";"124"
"4";"que";"-0.0978921548040923";"0.0166075909689911";"0.834178629917952";"143"
"5";"somente";"-0.00429465934354621";"0.3243340303";"0.833496627719392";"145"
"6";"valor";"0.144195225995393";"0.189358818690489";"0.830602605232083";"153"
"7";"essa";"-0.0402285001923334";"-0.188664539635419";"0.82467546770381";"176"
"8";"sem";"0.157298621639197";"-0.00519822508178226";"0.820780876201509";"189"
"9";"alguém";"-0.442465345300322";"0.459468322197471";"0.818034919980992";"202"
"10";"quanto";"-0.0809398475325056";"0.115383550311907";"0.817151009236806";"203"
"11";"aquela";"-0.356668552028301";"-0.102177308250177";"0.816697836723289";"206"
"12";"qualquer";"0.118865585225658";"0.326489023338295";"0.812403914986305";"221"
"13";"para";"-0.0631255553276727";"-0.0698713253935408";"0.810725830629322";"224"
"14";"como";"-0.00483133373367607";"0.0760102430339722";"0.810221059265257";"228"
"15";"usar";"-0.128071983144897";"0.222654347866219";"0.80726197735769";"249"
"16";"sete";"0.0764030090146564";"0.535798941928366";"0.806279355768976";"258"
"17";"lhe";"-0.00320413447250832";"-0.387703066967713";"0.805980979807106";"260"
"18";"parte";"-0.0238819322224607";"-0.227885887176328";"0.805334872461102";"261"
