"";"X";"V1"
"1";1;4
"2";2;2
"3";3;4
"4";4;4
"5";5;4
"6";6;3
"7";7;4
"8";8;3
"9";9;3
"10";10;3
"11";11;1
"12";12;3
"13";13;3
"14";14;3
"15";15;3
"16";16;3
"17";17;3
"18";18;3
"19";19;4
"20";20;3
"21";21;3
"22";22;3
"23";23;2
"24";24;3
"25";25;3
"26";26;3
"27";27;3
"28";28;3
"29";29;3
"30";30;4
"31";31;4
"32";32;4
"33";33;3
"34";34;3
"35";35;4
"36";36;3
"37";37;3
"38";38;4
"39";39;4
"40";40;3
"41";41;2
"42";42;4
"43";43;0
"44";44;4
"45";45;3
"46";46;4
"47";47;2
"48";48;4
"49";49;2
"50";50;4
"51";51;4
"52";52;4
"53";53;4
"54";54;4
"55";55;4
"56";56;3
"57";57;2
"58";58;2
"59";59;2
"60";60;4
"61";61;4
"62";62;4
"63";63;4
"64";64;3
"65";65;2
"66";66;3
"67";67;4
"68";68;3
"69";69;3
"70";70;4
"71";71;3
"72";72;3
"73";73;3
"74";74;3
"75";75;3
"76";76;4
"77";77;3
"78";78;3
"79";79;4
"80";80;3
"81";81;3
"82";82;3
"83";83;4
"84";84;3
"85";85;3
"86";86;3
"87";87;4
"88";88;4
"89";89;3
"90";90;3
"91";91;3
"92";92;3
"93";93;3
"94";94;4
"95";95;3
"96";96;4
"97";97;4
"98";98;4
"99";99;4
"100";100;3
"101";101;4
"102";102;4
"103";103;3
"104";104;3
"105";105;3
"106";106;3
"107";107;4
"108";108;4
"109";109;3
"110";110;3
"111";111;4
"112";112;4
"113";113;3
"114";114;4
"115";115;4
"116";116;3
"117";117;3
"118";118;3
"119";119;4
"120";120;4
"121";121;4
"122";122;3
"123";123;2
"124";124;4
"125";125;3
"126";126;4
"127";127;4
"128";128;4
"129";129;4
"130";130;4
"131";131;4
"132";132;2
"133";133;3
"134";134;4
"135";135;4
"136";136;4
"137";137;2
"138";138;4
"139";139;2
"140";140;2
"141";141;4
"142";142;4
"143";143;4
"144";144;4
"145";145;4
"146";146;2
"147";147;4
"148";148;4
"149";149;4
"150";150;4
"151";151;4
"152";152;4
"153";153;4
"154";154;4
"155";155;3
"156";156;3
"157";157;0
"158";158;4
"159";159;4
"160";160;4
"161";161;4
"162";162;3
"163";163;3
"164";164;3
"165";165;4
"166";166;4
"167";167;4
"168";168;4
"169";169;4
"170";170;4
"171";171;4
"172";172;3
"173";173;3
"174";174;4
"175";175;3
"176";176;3
"177";177;1
"178";178;4
"179";179;4
"180";180;4
"181";181;3
"182";182;4
"183";183;3
"184";184;4
"185";185;3
"186";186;1
"187";187;1
"188";188;4
"189";189;4
"190";190;4
"191";191;1
"192";192;4
"193";193;1
"194";194;3
"195";195;4
"196";196;4
"197";197;3
"198";198;4
"199";199;1
"200";200;3
"201";201;3
"202";202;4
"203";203;3
"204";204;3
"205";205;3
"206";206;4
"207";207;4
"208";208;4
"209";209;3
"210";210;4
"211";211;4
"212";212;2
"213";213;4
"214";214;2
"215";215;4
"216";216;3
"217";217;4
"218";218;4
"219";219;4
"220";220;4
"221";221;4
"222";222;4
"223";223;4
"224";224;4
"225";225;1
"226";226;4
"227";227;3
"228";228;4
"229";229;4
"230";230;1
"231";231;3
"232";232;3
"233";233;3
"234";234;3
"235";235;3
"236";236;3
"237";237;3
"238";238;3
"239";239;3
"240";240;1
"241";241;3
"242";242;3
"243";243;3
"244";244;1
"245";245;3
"246";246;4
"247";247;4
"248";248;1
"249";249;3
"250";250;3
"251";251;3
"252";252;4
"253";253;3
"254";254;3
"255";255;3
"256";256;3
"257";257;3
"258";258;3
"259";259;3
"260";260;3
"261";261;4
"262";262;3
"263";263;3
"264";264;3
"265";265;3
"266";266;3
"267";267;3
"268";268;3
"269";269;3
"270";270;4
"271";271;3
"272";272;3
"273";273;3
"274";274;3
"275";275;3
"276";276;3
"277";277;3
"278";278;4
"279";279;4
"280";280;3
"281";281;3
"282";282;4
"283";283;0
"284";284;1
"285";285;4
"286";286;4
"287";287;4
"288";288;4
"289";289;2
"290";290;4
"291";291;4
"292";292;4
"293";293;3
"294";294;4
"295";295;3
"296";296;3
"297";297;4
"298";298;4
"299";299;4
"300";300;1
"301";301;4
"302";302;4
"303";303;3
"304";304;2
"305";305;3
"306";306;4
"307";307;3
"308";308;4
"309";309;4
"310";310;4
"311";311;3
"312";312;3
"313";313;3
"314";314;3
"315";315;3
"316";316;0
"317";317;4
"318";318;2
"319";319;4
"320";320;4
"321";321;4
"322";322;3
"323";323;1
"324";324;3
"325";325;3
"326";326;4
"327";327;3
"328";328;4
"329";329;4
"330";330;4
"331";331;4
"332";332;3
"333";333;1
"334";334;4
"335";335;4
"336";336;3
"337";337;1
"338";338;3
"339";339;3
"340";340;4
"341";341;1
"342";342;4
"343";343;4
"344";344;4
"345";345;2
"346";346;2
"347";347;0
"348";348;0
"349";349;0
"350";350;0
"351";351;0
"352";352;0
"353";353;0
"354";354;0
"355";355;0
"356";356;0
"357";357;0
"358";358;0
"359";359;0
"360";360;0
"361";361;0
"362";362;0
"363";363;0
"364";364;0
"365";365;0
"366";366;0
"367";367;0
"368";368;0
"369";369;0
"370";370;0
"371";371;0
"372";372;0
"373";373;0
"374";374;0
"375";375;0
"376";376;0
"377";377;0
"378";378;0
"379";379;0
"380";380;0
"381";381;0
"382";382;0
"383";383;0
"384";384;0
"385";385;0
"386";386;0
"387";387;0
"388";388;0
"389";389;0
"390";390;0
"391";391;0
"392";392;0
"393";393;0
"394";394;0
"395";395;0
"396";396;0
"397";397;0
"398";398;0
"399";399;0
"400";400;0
"401";401;0
"402";402;0
"403";403;0
"404";404;4
"405";405;4
"406";406;4
"407";407;1
"408";408;4
"409";409;3
"410";410;4
"411";411;4
"412";412;4
"413";413;4
"414";414;4
"415";415;4
"416";416;4
"417";417;1
"418";418;4
"419";419;0
"420";420;4
"421";421;4
"422";422;4
"423";423;4
"424";424;4
"425";425;4
"426";426;4
"427";427;4
"428";428;4
"429";429;0
"430";430;4
"431";431;0
"432";432;0
"433";433;4
"434";434;0
"435";435;4
"436";436;3
"437";437;3
"438";438;0
"439";439;0
"440";440;3
"441";441;1
"442";442;0
"443";443;4
"444";444;3
"445";445;4
"446";446;4
"447";447;4
"448";448;0
"449";449;4
"450";450;3
"451";451;3
"452";452;3
"453";453;3
"454";454;4
"455";455;3
"456";456;4
"457";457;4
"458";458;4
"459";459;3
"460";460;3
"461";461;3
"462";462;4
"463";463;4
"464";464;4
"465";465;3
"466";466;3
"467";467;3
"468";468;2
"469";469;3
"470";470;0
"471";471;2
"472";472;2
"473";473;4
"474";474;4
"475";475;2
"476";476;2
"477";477;2
"478";478;2
"479";479;2
"480";480;3
"481";481;4
"482";482;2
"483";483;2
"484";484;4
"485";485;4
"486";486;4
"487";487;1
"488";488;2
"489";489;1
"490";490;3
"491";491;4
"492";492;2
"493";493;1
"494";494;3
"495";495;3
"496";496;4
"497";497;3
"498";498;3
"499";499;3
"500";500;3
"501";501;3
"502";502;1
"503";503;1
"504";504;3
"505";505;0
"506";506;3
"507";507;3
"508";508;3
"509";509;3
"510";510;3
"511";511;2
"512";512;3
"513";513;0
"514";514;4
"515";515;3
"516";516;3
"517";517;4
"518";518;0
"519";519;4
"520";520;4
"521";521;4
"522";522;4
"523";523;4
"524";524;4
"525";525;4
"526";526;3
"527";527;3
"528";528;4
"529";529;3
"530";530;4
"531";531;4
"532";532;4
"533";533;3
"534";534;4
"535";535;4
"536";536;4
"537";537;4
"538";538;1
"539";539;4
"540";540;3
"541";541;3
"542";542;3
"543";543;3
"544";544;3
"545";545;3
"546";546;1
"547";547;4
"548";548;3
"549";549;1
"550";550;4
"551";551;4
"552";552;3
"553";553;4
"554";554;4
"555";555;3
"556";556;4
"557";557;2
"558";558;4
"559";559;4
"560";560;4
"561";561;3
"562";562;3
"563";563;2
"564";564;4
"565";565;4
"566";566;2
"567";567;2
"568";568;2
"569";569;3
"570";570;3
"571";571;4
"572";572;4
"573";573;3
"574";574;3
"575";575;4
"576";576;2
"577";577;2
"578";578;4
"579";579;2
"580";580;2
"581";581;2
"582";582;2
"583";583;2
"584";584;2
"585";585;3
"586";586;4
"587";587;3
"588";588;1
"589";589;1
"590";590;3
"591";591;1
"592";592;4
"593";593;4
"594";594;1
"595";595;3
"596";596;4
"597";597;1
"598";598;3
"599";599;4
"600";600;4
"601";601;3
"602";602;2
"603";603;3
"604";604;4
"605";605;3
"606";606;3
"607";607;3
"608";608;4
"609";609;4
"610";610;4
"611";611;3
"612";612;3
"613";613;3
"614";614;3
"615";615;4
"616";616;3
"617";617;3
"618";618;3
"619";619;3
"620";620;3
"621";621;3
"622";622;3
"623";623;3
"624";624;3
"625";625;3
"626";626;3
"627";627;3
"628";628;3
"629";629;4
"630";630;3
"631";631;3
"632";632;3
"633";633;4
"634";634;3
"635";635;4
"636";636;3
"637";637;4
"638";638;4
"639";639;4
"640";640;4
"641";641;4
"642";642;4
"643";643;3
"644";644;4
"645";645;3
"646";646;4
"647";647;3
"648";648;4
"649";649;3
"650";650;4
"651";651;4
"652";652;4
"653";653;4
"654";654;3
"655";655;3
"656";656;3
"657";657;3
"658";658;4
"659";659;1
"660";660;4
"661";661;2
"662";662;4
"663";663;3
"664";664;1
"665";665;0
"666";666;4
"667";667;1
"668";668;1
"669";669;1
"670";670;0
"671";671;3
"672";672;1
"673";673;1
"674";674;1
"675";675;1
"676";676;1
"677";677;1
"678";678;0
"679";679;1
"680";680;4
"681";681;3
"682";682;3
"683";683;3
"684";684;3
"685";685;1
"686";686;4
"687";687;4
"688";688;3
"689";689;3
"690";690;4
"691";691;4
"692";692;3
"693";693;3
"694";694;3
"695";695;4
"696";696;3
"697";697;3
"698";698;4
"699";699;3
"700";700;4
"701";701;3
"702";702;3
"703";703;4
"704";704;4
"705";705;4
"706";706;4
"707";707;3
"708";708;3
"709";709;3
"710";710;4
"711";711;3
"712";712;4
"713";713;4
"714";714;4
"715";715;3
"716";716;3
"717";717;4
"718";718;4
"719";719;4
"720";720;4
"721";721;4
"722";722;1
"723";723;1
"724";724;4
"725";725;3
"726";726;3
"727";727;3
"728";728;3
"729";729;4
"730";730;4
"731";731;4
"732";732;4
"733";733;4
"734";734;4
"735";735;4
"736";736;4
"737";737;4
"738";738;2
"739";739;4
"740";740;4
"741";741;4
"742";742;3
"743";743;4
"744";744;4
"745";745;4
"746";746;4
"747";747;3
"748";748;3
"749";749;4
"750";750;4
"751";751;3
"752";752;4
"753";753;1
"754";754;3
"755";755;4
"756";756;4
"757";757;4
"758";758;4
"759";759;4
"760";760;4
"761";761;4
"762";762;4
"763";763;1
"764";764;4
"765";765;4
"766";766;3
"767";767;4
"768";768;4
"769";769;1
"770";770;0
"771";771;1
"772";772;4
"773";773;4
"774";774;4
"775";775;3
"776";776;4
"777";777;4
"778";778;4
"779";779;1
"780";780;1
"781";781;4
"782";782;1
"783";783;4
"784";784;4
"785";785;4
"786";786;4
"787";787;4
"788";788;4
"789";789;4
"790";790;4
"791";791;4
"792";792;3
"793";793;3
"794";794;1
"795";795;1
"796";796;3
"797";797;3
"798";798;3
"799";799;3
"800";800;3
"801";801;3
"802";802;1
"803";803;4
"804";804;3
"805";805;3
"806";806;4
"807";807;4
"808";808;3
"809";809;4
"810";810;4
"811";811;3
"812";812;3
"813";813;4
"814";814;4
"815";815;4
"816";816;1
"817";817;4
"818";818;4
"819";819;4
"820";820;4
"821";821;3
"822";822;1
"823";823;3
"824";824;3
"825";825;4
"826";826;4
"827";827;3
"828";828;3
"829";829;4
"830";830;4
"831";831;4
"832";832;4
"833";833;3
"834";834;1
"835";835;3
"836";836;3
"837";837;0
"838";838;3
"839";839;4
"840";840;0
"841";841;4
"842";842;2
"843";843;2
"844";844;4
"845";845;3
"846";846;3
"847";847;4
"848";848;4
"849";849;4
"850";850;4
"851";851;4
"852";852;4
"853";853;3
"854";854;2
"855";855;4
"856";856;4
"857";857;4
"858";858;3
"859";859;3
"860";860;3
"861";861;3
"862";862;4
"863";863;4
"864";864;4
"865";865;3
"866";866;4
"867";867;4
"868";868;4
"869";869;4
"870";870;3
"871";871;3
"872";872;4
"873";873;3
"874";874;3
"875";875;3
"876";876;1
"877";877;1
"878";878;1
"879";879;4
"880";880;4
"881";881;3
"882";882;1
"883";883;1
"884";884;1
"885";885;3
"886";886;3
"887";887;3
"888";888;4
"889";889;1
"890";890;3
"891";891;1
"892";892;3
"893";893;4
"894";894;3
"895";895;4
"896";896;3
"897";897;0
"898";898;4
"899";899;3
"900";900;4
"901";901;4
"902";902;3
"903";903;3
"904";904;3
"905";905;3
"906";906;4
"907";907;4
"908";908;2
"909";909;2
"910";910;4
"911";911;4
"912";912;4
"913";913;4
"914";914;2
"915";915;4
"916";916;2
"917";917;4
"918";918;4
"919";919;4
"920";920;4
"921";921;2
"922";922;4
"923";923;4
"924";924;4
"925";925;3
"926";926;4
"927";927;4
"928";928;1
"929";929;3
"930";930;3
"931";931;3
"932";932;4
"933";933;4
"934";934;3
"935";935;3
"936";936;4
"937";937;3
"938";938;4
"939";939;3
"940";940;3
"941";941;3
"942";942;3
"943";943;3
"944";944;3
"945";945;4
"946";946;2
"947";947;4
"948";948;3
"949";949;4
"950";950;2
"951";951;4
"952";952;4
"953";953;4
"954";954;4
"955";955;4
"956";956;4
"957";957;4
"958";958;4
"959";959;2
"960";960;4
"961";961;4
"962";962;4
"963";963;4
"964";964;4
"965";965;4
"966";966;2
"967";967;4
"968";968;4
"969";969;4
"970";970;4
"971";971;2
"972";972;4
"973";973;4
"974";974;2
"975";975;1
"976";976;3
"977";977;1
"978";978;3
"979";979;3
"980";980;4
"981";981;4
"982";982;4
"983";983;3
"984";984;3
"985";985;3
"986";986;1
"987";987;3
"988";988;4
"989";989;4
"990";990;4
"991";991;4
"992";992;4
"993";993;3
"994";994;3
"995";995;4
"996";996;4
"997";997;3
"998";998;4
"999";999;4
"1000";1000;4
"1001";1001;4
"1002";1002;2
"1003";1003;4
"1004";1004;3
"1005";1005;3
"1006";1006;3
"1007";1007;3
"1008";1008;1
"1009";1009;1
"1010";1010;3
"1011";1011;1
"1012";1012;4
"1013";1013;3
"1014";1014;3
"1015";1015;3
"1016";1016;3
"1017";1017;1
"1018";1018;4
"1019";1019;3
"1020";1020;3
"1021";1021;3
"1022";1022;3
"1023";1023;3
"1024";1024;3
"1025";1025;4
"1026";1026;4
"1027";1027;4
"1028";1028;4
"1029";1029;4
"1030";1030;4
"1031";1031;3
"1032";1032;3
"1033";1033;4
"1034";1034;4
"1035";1035;3
"1036";1036;4
"1037";1037;3
"1038";1038;4
"1039";1039;4
"1040";1040;3
"1041";1041;4
"1042";1042;4
"1043";1043;4
"1044";1044;4
"1045";1045;4
"1046";1046;4
"1047";1047;3
"1048";1048;3
"1049";1049;4
"1050";1050;3
"1051";1051;4
"1052";1052;3
"1053";1053;4
"1054";1054;3
"1055";1055;2
"1056";1056;3
"1057";1057;3
"1058";1058;4
"1059";1059;4
"1060";1060;3
"1061";1061;4
"1062";1062;4
"1063";1063;3
"1064";1064;4
"1065";1065;3
"1066";1066;4
"1067";1067;1
"1068";1068;3
"1069";1069;3
"1070";1070;3
"1071";1071;3
"1072";1072;3
"1073";1073;3
"1074";1074;3
"1075";1075;3
"1076";1076;1
"1077";1077;3
"1078";1078;3
"1079";1079;3
"1080";1080;3
"1081";1081;4
"1082";1082;4
"1083";1083;3
"1084";1084;4
"1085";1085;4
"1086";1086;3
