"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"aqui";-0,0163753330445797;0,111738575257982;0,226104925168615;-0,0647914281745202;0,442110206457581;0,894617592148255;0,00875709098553835;0,27231692728218;0,718925981732282;4,79976420053208e-06;0,000223483712989338;0,000915081265757924;0,0178994472229534;0,0974394115696589;0,000169945208486132
"né";-0,500625255658186;0,377531294278874;0,677210149610892;-0,542440130547402;0,409064709060915;0,733774330821559;0,461302337822021;0,17520837392372;0,363489288253998;0,0037333259650576;0,00212312866677223;0,00683151957709677;0,0148960252698078;0,410434982266769;0,0025093378619322
"gente";-0,208997973971509;-0,237726402705318;0,33258887368759;-0,455194637131272;-0,517764749388056;0,724373872125474;0,338459148941283;0,29245950675112;0,369081344307513;0,000536257526115419;0,000693815639961928;0,00135801535644443;0,0122769149776257;0,200038407808773;0,000491265228976553
"falar";-0,322689909670663;0,284443522742539;0,557656947833919;-0,458180491704402;0,403875266026508;0,79180515691269;0,356512277621964;0,185005490344391;0,458482232033623;0,00124987424791489;0,000971152978135415;0,00373275756223094;0,0120031587259805;0,30093491773205;0,00108702795651331
"então";-0,23733243740446;-0,0548247221163326;0,52259969368268;-0,411622005389368;-0,0950862946053221;0,906380671273094;0,320150170534655;0,0114098836754893;0,668439945789846;0,000714499339520621;3,81276914914092e-05;0,00346438328395793;0,012684917083443;0,233563337692549;0,000691985474728007
"aí";-0,326407448726308;0,638445160980582;0,750101418939711;-0,314551159386385;0,615254542672706;0,72285504483906;0,171549539815829;0,43833427872717;0,390116181456969;0,00114702830841967;0,00438834955104038;0,0060575078896132;0,0107659910502764;0,43882334577907;0,00207316306605689
"porque";-0,256454492653047;0,25389814293594;0,215698543101693;-0,609985484245849;0,603905121979781;0,513046111627349;0,510402805973467;0,334118312171575;0,155478881854939;0,000776104262155988;0,000760708894181807;0,000549027210022198;0,0118004738088971;0,199884089870699;0,000471471993119112
"deus";-1,84499138196764;-1,5799624861187;-0,947847145679519;-0,707590117075835;-0,605946375389501;-0,363517835008039;0,623665949671465;0,30545391827633;0,0708801320521867;0,0295418941270504;0,0216642273375025;0,00779697724547396;0,00867859963148197;1,30089656594823;0,0146870707892883
"senhor";-0,785585664347189;-1,17097050566045;-1,09080183398665;-0,440661696292131;-0,656837150613204;-0,61186781823795;0,301743352744544;0,447745597879169;0,250511049376256;0,00488972349682474;0,0108639839290112;0,00942733458672335;0,00792313766780732;0,796341109738153;0,00502453035221787
"querer";-0,0757460728534137;-0,134994517966857;0,18313849193909;-0,315881051872751;-0,562962655700294;0,763735693387861;0,177351259949687;0,376214127996323;0,446434612053985;5,61060593796655e-05;0,000178205781411691;0,000327981080174851;0,00977888918136352;0,10015379826592;9,808991836231e-05
"pessoa";-0,506641829380827;0,640031952123897;0,366427838369247;-0,566231831203365;0,715310981571892;0,409526205479869;0,436474933836459;0,465210311964309;0,0983147541992107;0,00237159163176365;0,0037847843066221;0,00124055134553613;0,00923927349302448;0,427017655120121;0,00168472680448235
"muito";-0,115557709980685;-0,0640436214357912;0,541569748636232;-0,207296174728413;-0,114886300028039;0,971508844019875;0,0937817685456452;0,0192380535074317;0,886980177946909;0,000111145126797497;3,41384921879014e-05;0,00244118878736793;0,00832324295867333;0,210118436087991;0,00036746915560939
"também";0,0823898589703794;-0,0708811816809651;-0,179732256481991;0,392261888458699;-0,337468549282935;-0,855713497093324;0,282203936177057;0,139497442818466;0,578298621004454;4,40805875769394e-05;3,26258439272988e-05;0,000209774120762324;0,00649381416162148;0,0863608022523119;4,84320879302196e-05
"assim";-0,616766773411223;0,11168476501812;0,649703389130115;-0,683195557319335;0,123713757890391;0,71967960688612;0,666787158859632;0,0146023232642937;0,318610517876067;0,00244722469545754;8,02453318915536e-05;0,00271557731761635;0,00643327191366149;0,420583080525981;0,00113798228985213
"só";0,0160715031618048;0,340600166599383;0,722925004437091;0,0201068649389903;0,42612078528455;0,90444280655595;0,000853066092397789;0,255886984263691;0,743259949643874;1,63855394959348e-06;0,000735931616491029;0,00331538708743692;0,00634377467754672;0,306400592081611;0,000595561958450612
"já";0,0970140985629667;0,0802642442006614;0,451421139721725;0,207006484649349;0,171266025053377;0,963232196293051;0,0927588063701152;0,0424051386260883;0,864836055003768;5,49244990903048e-05;3,75959134111036e-05;0,00118921447124097;0,0058357462490129;0,177370634265727;0,000183594572234574
"dar";-0,204571021310924;0,226570829331033;0,392819897759342;-0,411210605288006;0,455432676988079;0,789611876069594;0,293514270319434;0,240457198489808;0,466028531190733;0,000246535245004779;0,000302411830731764;0,00090902901422829;0,00589102395367202;0,210258685515083;0,000260434598051276
"agora";-0,213210613660413;0,33794001301697;-0,145316032133889;-0,501458352480968;0,794814288348679;-0,341774439892536;0,347479346998222;0,583014544609208;0,0695061083925568;0,000272106431634434;0,000683597396032763;0,000126400336061445;0,00598578573308766;0,201404311765478;0,000242805597573121
"quando";-0,482106641454337;0,0391548275380951;0,0781194490612856;-0,983967820246233;0,0799140418156336;0,159439877824106;0,984531555147632;0,00433713402106062;0,011131310831306;0,00130193277079959;8,58762281015214e-06;3,41838263449522e-05;0,00560147407212424;0,270553238219217;0,000410022607067134
"deputado";2,23514353435596;-1,17429420491739;-0,37386709189755;0,875711803121944;-0,460079310244461;-0,146478210522574;0,835845747544219;0,15408413961383;0,0100701128419446;0,0210407649136015;0,00580770467892629;0,000588687980643038;0,00421163464069492;1,36134058132389;0,00780520422578265
"dia";-0,606090526483399;-0,161789870326359;-0,563279501259789;-0,718889450662141;-0,191900427278499;-0,668110906764001;0,704465034506413;0,0335255494629213;0,262009416030651;0,00173858282672987;0,000123886233030048;0,00150164850270592;0,00473282442748092;0,40209828134954;0,00076521738378502
"ficar";-0,257314153008097;0,505932318844339;0,844462852968947;-0,252889903839038;0,497233338958934;0,829943192733112;0,121657341693128;0,314112066397027;0,564230591909813;0,000332882850950524;0,00128691220450069;0,00358529729977601;0,00502763885232956;0,410789141381785;0,000848402586663389
