"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"4923";"24956";"19.73";"****";""
" 29";"3297";" 0.88";"-852.158";"deus";"2.468274e-187"
"415";"5659";" 7.33";"-709.857";"né";"2.149437e-156"
"170";"3510";" 4.84";"-571.367";"pessoa";"2.831304e-126"
"334";"4090";" 8.17";"-412.842";"aí";" 8.822530e-92"
"  9";"1279";" 0.70";"-308.073";"cara";" 5.742613e-69"
"  3";"1208";" 0.25";"-304.155";"oração";" 4.098627e-68"
"  2";"1176";" 0.17";"-298.080";"orar";" 8.629250e-67"
"  1";"1068";" 0.09";"-271.592";"jesus";" 5.103210e-61"
"187";"2444";" 7.65";"-249.479";"assim";" 3.372959e-56"
" 79";"1564";" 5.05";"-226.939";"vida";" 2.773353e-51"
"535";"4560";"11.73";"-225.178";"falar";" 6.714387e-51"
"102";"1638";" 6.23";"-201.750";"tudo";" 8.667051e-46"
"  5";" 797";" 0.63";"-189.656";"igreja";" 3.779527e-43"
" 54";"1210";" 4.46";"-187.101";"pai";" 1.365203e-42"
"147";"1892";" 7.77";"-184.838";"coisa";" 4.257005e-42"
"  7";" 771";" 0.91";"-177.927";"coração";" 1.374293e-40"
" 84";"1390";" 6.04";"-174.051";"ali";" 9.649575e-40"
"604";"4483";"13.47";"-134.957";"porque";" 3.373493e-31"
" 20";" 719";" 2.78";"-134.241";"homem";" 4.838201e-31"
"175";"1848";" 9.47";"-132.596";"lá";" 1.108015e-30"
" 67";"1062";" 6.31";"-126.111";"mundo";" 2.908074e-29"
"  8";" 577";" 1.39";"-125.464";"cristão";" 4.028438e-29"
"  0";" 485";" 0.00";"-121.548";"bíblia";" 2.898599e-28"
" 14";" 587";" 2.39";"-114.165";"nação";" 1.198982e-26"
"210";"1952";"10.76";"-107.564";"mesmo";" 3.348971e-25"
"239";"2128";"11.23";"-106.031";"quando";" 7.259488e-25"
"  6";" 481";" 1.25";"-105.765";"espírito";" 8.300503e-25"
"205";"1910";"10.73";"-105.649";"ficar";" 8.800588e-25"
"  0";" 411";" 0.00";"-102.692";"amém";" 3.914758e-24"
" 15";" 516";" 2.91";" -94.132";"vídeo";" 2.952012e-22"
"  8";" 446";" 1.79";" -92.225";"cristo";" 7.738003e-22"
"199";"1798";"11.07";" -91.740";"dia";" 9.883566e-22"
" 44";" 723";" 6.09";" -87.492";"chamar";" 8.460347e-21"
"  1";" 351";" 0.28";" -84.978";"live";" 3.016996e-20"
"  4";" 376";" 1.06";" -83.968";"amor";" 5.028967e-20"
"112";"1180";" 9.49";" -81.938";"olhar";" 1.404356e-19"
" 76";" 932";" 8.15";" -81.875";"realmente";" 1.449550e-19"
"  6";" 386";" 1.55";" -81.762";"graça";" 1.534980e-19"
" 61";" 816";" 7.48";" -79.958";"algo";" 3.824757e-19"
" 18";" 483";" 3.73";" -79.625";"pastor";" 4.526556e-19"
"  0";" 313";" 0.00";" -77.895";"glória";" 1.086661e-18"
"  6";" 356";" 1.69";" -74.234";"terra";" 6.939675e-18"
" 19";" 469";" 4.05";" -74.171";"viver";" 7.164982e-18"
" 17";" 452";" 3.76";" -74.101";"santo";" 7.422021e-18"
" 71";" 858";" 8.28";" -73.586";"filho";" 9.636924e-18"
"  3";" 324";" 0.93";" -73.273";"noite";" 1.128748e-17"
"  6";" 351";" 1.71";" -72.982";"galera";" 1.308672e-17"
" 62";" 783";" 7.92";" -71.181";"bolsonaro";" 3.258451e-17"
" 17";" 432";" 3.94";" -69.229";"amigo";" 8.765446e-17"
"  7";" 336";" 2.08";" -66.952";"irmão";" 2.781852e-16"
"  4";" 306";" 1.31";" -66.376";"amar";" 3.726232e-16"
"  0";" 265";" 0.00";" -65.821";"céu";" 4.937344e-16"
"132";"1225";"10.78";" -65.183";"acontecer";" 6.826524e-16"
"  5";" 309";" 1.62";" -64.791";"morrer";" 8.328876e-16"
" 35";" 553";" 6.33";" -64.104";"mulher";" 1.180196e-15"
" 40";" 585";" 6.84";" -62.846";"hora";" 2.235173e-15"
" 74";" 825";" 8.97";" -62.346";"nicolas";" 2.880477e-15"
" 74";" 821";" 9.01";" -61.531";"tô";" 4.358522e-15"
" 61";" 722";" 8.45";" -59.720";"começar";" 1.093372e-14"
" 37";" 548";" 6.75";" -59.567";"música";" 1.182057e-14"
" 78";" 838";" 9.31";" -59.442";"nada";" 1.259747e-14"
"  6";" 295";" 2.03";" -59.014";"guerra";" 1.565591e-14"
"311";"2274";"13.68";" -57.839";"agora";" 2.844266e-14"
" 28";" 471";" 5.94";" -57.582";"simplesmente";" 3.241207e-14"
"  1";" 240";" 0.42";" -57.062";"beleza";" 4.222284e-14"
"  5";" 275";" 1.82";" -56.317";"olho";" 6.168080e-14"
" 16";" 370";" 4.32";" -56.265";"mãe";" 6.332813e-14"
" 45";" 588";" 7.65";" -55.435";"talvez";" 9.659967e-14"
" 71";" 769";" 9.23";" -55.179";"família";" 1.100557e-13"
"  2";" 240";" 0.83";" -54.626";"fé";" 1.457721e-13"
"  8";" 292";" 2.74";" -53.840";"matar";" 2.175486e-13"
" 22";" 407";" 5.41";" -53.589";"levantar";" 2.471429e-13"
"  5";" 254";" 1.97";" -51.103";"poxa";" 8.762884e-13"
"109";" 995";"10.95";" -50.357";"chegar";" 1.281781e-12"
"  6";" 260";" 2.31";" -50.344";"abençoar";" 1.290553e-12"
"  5";" 248";" 2.02";" -49.617";"propósito";" 1.869009e-12"
"  0";" 194";" 0.00";" -48.048";"pecado";" 4.159230e-12"
"  0";" 194";" 0.00";" -48.048";"espiritual";" 4.159230e-12"
" 21";" 375";" 5.60";" -47.980";"mudar";" 4.305115e-12"
"141";"1184";"11.91";" -47.975";"deixar";" 4.315854e-12"
" 42";" 531";" 7.91";" -47.844";"nunca";" 4.614017e-12"
"  0";" 191";" 0.00";" -47.299";"evangelho";" 6.093687e-12"
" 13";" 307";" 4.23";" -47.110";"mandar";" 6.710952e-12"
"  2";" 206";" 0.97";" -46.144";"poderoso";" 1.098780e-11"
" 30";" 428";" 7.01";" -44.476";"mão";" 2.574965e-11"
" 11";" 279";" 3.94";" -44.391";"paz";" 2.688667e-11"
"  0";" 179";" 0.00";" -44.306";"inimigo";" 2.808455e-11"
"  8";" 249";" 3.21";" -43.314";"destruir";" 4.662894e-11"
"  7";" 236";" 2.97";" -42.266";"preso";" 7.965957e-11"
" 49";" 547";" 8.96";" -40.956";"tomar";" 1.556890e-10"
"  0";" 162";" 0.00";" -40.071";"cantar";" 2.449318e-10"
"328";"2238";"14.66";" -39.920";"dar";" 2.646119e-10"
" 29";" 399";" 7.27";" -39.745";"conhecer";" 2.893928e-10"
"  0";" 160";" 0.00";" -39.573";"versículo";" 3.160490e-10"
"  0";" 160";" 0.00";" -39.573";"jejum";" 3.160490e-10"
"  0";" 160";" 0.00";" -39.573";"alma";" 3.160490e-10"
"  0";" 155";" 0.00";" -38.328";"esposo";" 5.978447e-10"
"  2";" 173";" 1.16";" -37.940";"cadeia";" 7.295993e-10"
"  6";" 209";" 2.87";" -37.816";"morte";" 7.773660e-10"
" 14";" 275";" 5.09";" -37.614";"sentir";" 8.621173e-10"
"  5";" 199";" 2.51";" -37.538";"voz";" 8.963134e-10"
"  1";" 161";" 0.62";" -37.354";"reino";" 9.853964e-10"
" 39";" 459";" 8.50";" -37.240";"certeza";" 1.044597e-09"
"  6";" 206";" 2.91";" -37.084";"olhado";" 1.131400e-09"
"  5";" 196";" 2.55";" -36.803";"igual";" 1.306882e-09"
"803";"4819";"16.66";" -35.396";"então";" 2.690846e-09"
"  0";" 141";" 0.00";" -34.847";"clamar";" 3.566843e-09"
"116";" 947";"12.25";" -34.757";"conseguir";" 3.735816e-09"
" 67";" 635";"10.55";" -34.642";"entrar";" 3.962391e-09"
"  3";" 169";" 1.78";" -34.627";"mente";" 3.992978e-09"
" 10";" 229";" 4.37";" -34.434";"geração";" 4.409017e-09"
"  1";" 148";" 0.68";" -34.124";"pô";" 5.171652e-09"
" 25";" 343";" 7.29";" -33.977";"vender";" 5.576521e-09"
" 55";" 550";"10.00";" -33.601";"sair";" 6.766944e-09"
" 71";" 655";"10.84";" -33.549";"sempre";" 6.949269e-09"
"  4";" 172";" 2.33";" -33.118";"vivo";" 8.674115e-09"
"  3";" 162";" 1.85";" -32.901";"rei";" 9.699578e-09"
" 11";" 229";" 4.80";" -32.504";"difícil";" 1.189394e-08"
"  3";" 160";" 1.88";" -32.408";"esperança";" 1.249934e-08"
" 12";" 236";" 5.08";" -32.256";"mal";" 1.351322e-08"
"164";"1221";"13.43";" -32.128";"vir";" 1.443536e-08"
" 18";" 282";" 6.38";" -32.071";"lutar";" 1.486322e-08"
" 17";" 274";" 6.20";" -31.991";"vontade";" 1.549169e-08"
"  3";" 157";" 1.91";" -31.669";"capítulo";" 1.828493e-08"
"  0";" 128";" 0.00";" -31.617";"misericórdia";" 1.877335e-08"
" 91";" 768";"11.85";" -31.054";"dentro";" 2.509636e-08"
"  2";" 144";" 1.39";" -30.757";"monte";" 2.924284e-08"
"  2";" 143";" 1.40";" -30.510";"dor";" 3.321574e-08"
" 11";" 218";" 5.05";" -29.933";"forte";" 4.473469e-08"
"  2";" 140";" 1.43";" -29.769";"chorar";" 4.867925e-08"
" 16";" 256";" 6.25";" -29.666";"basicamente";" 5.132456e-08"
"  8";" 192";" 4.17";" -29.584";"errado";" 5.355499e-08"
"  7";" 183";" 3.83";" -29.438";"cabeça";" 5.774658e-08"
" 41";" 433";" 9.47";" -29.281";"história";" 6.261930e-08"
"  5";" 165";" 3.03";" -29.241";"mídia";" 6.392729e-08"
"  7";" 181";" 3.87";" -28.959";"tocar";" 7.392821e-08"
"  4";" 155";" 2.58";" -28.956";"alexandre";" 7.403494e-08"
"  2";" 136";" 1.47";" -28.781";"moraes";" 8.104828e-08"
"  3";" 145";" 2.07";" -28.717";"amanhã";" 8.375182e-08"
" 43";" 442";" 9.73";" -28.405";"tirar";" 9.838721e-08"
"  0";" 115";" 0.00";" -28.391";"morto";" 9.910198e-08"
"  0";" 114";" 0.00";" -28.143";"filme";" 1.126491e-07"
" 22";" 293";" 7.51";" -27.950";"crer";" 1.244805e-07"
" 16";" 248";" 6.45";" -27.877";"mentira";" 1.293067e-07"
" 11";" 208";" 5.29";" -27.612";"bater";" 1.482365e-07"
"  0";" 111";" 0.00";" -27.400";"louvar";" 1.654731e-07"
"  3";" 139";" 2.16";" -27.245";"compartilhar";" 1.792701e-07"
"106";" 836";"12.68";" -27.128";"depois";" 1.903892e-07"
" 15";" 236";" 6.36";" -26.898";"inteiro";" 2.144355e-07"
" 14";" 228";" 6.14";" -26.823";"atrás";" 2.230079e-07"
"  2";" 128";" 1.56";" -26.807";"postar";" 2.248029e-07"
"  2";" 128";" 1.56";" -26.807";"corrupção";" 2.248029e-07"
" 20";" 272";" 7.35";" -26.589";"perceber";" 2.516320e-07"
"  3";" 136";" 2.21";" -26.509";"prisão";" 2.622919e-07"
"  4";" 140";" 2.86";" -25.302";"alegria";" 4.902172e-07"
" 20";" 264";" 7.58";" -24.878";"parar";" 6.107077e-07"
" 72";" 609";"11.82";" -24.628";"pessoal";" 6.955013e-07"
"  4";" 135";" 2.96";" -24.088";"neto";" 9.201739e-07"
"100";" 778";"12.85";" -23.957";"momento";" 9.851147e-07"
" 55";" 496";"11.09";" -23.845";"lugar";" 1.043998e-06"
" 15";" 222";" 6.76";" -23.795";"imaginar";" 1.071622e-06"
"  2";" 115";" 1.74";" -23.606";"felipe";" 1.182138e-06"
"  2";" 115";" 1.74";" -23.606";"pregar";" 1.182138e-06"
"  4";" 132";" 3.03";" -23.361";"foto";" 1.342496e-06"
"  6";" 149";" 4.03";" -23.332";"velho";" 1.363076e-06"
"  3";" 123";" 2.44";" -23.329";"conservador";" 1.365143e-06"
" 18";" 242";" 7.44";" -23.304";"afinal";" 1.383004e-06"
" 28";" 313";" 8.95";" -23.266";"justiça";" 1.410766e-06"
" 33";" 347";" 9.51";" -23.195";"chamado";" 1.463539e-06"
"  3";" 121";" 2.48";" -22.841";"coragem";" 1.759643e-06"
"  1";" 102";" 0.98";" -22.729";"adorar";" 1.865059e-06"
" 57";" 499";"11.42";" -22.172";"tão";" 2.492629e-06"
"  5";" 135";" 3.70";" -22.007";"jogar";" 2.717207e-06"
"  4";" 125";" 3.20";" -21.669";"instagram";" 3.239906e-06"
"  1";"  96";" 1.04";" -21.248";"cura";" 4.036363e-06"
"  0";"  85";" 0.00";" -20.960";"dormir";" 4.690535e-06"
"  3";" 113";" 2.65";" -20.892";"comer";" 4.858618e-06"
"  5";" 130";" 3.85";" -20.812";"quebrar";" 5.065971e-06"
" 11";" 178";" 6.18";" -20.777";"campanha";" 5.159549e-06"
"  8";" 153";" 5.23";" -20.434";"corpo";" 6.172831e-06"
"  2";" 101";" 1.98";" -20.169";"sofrimento";" 7.089462e-06"
"  5";" 127";" 3.94";" -20.097";"jeito";" 7.359293e-06"
" 18";" 226";" 7.96";" -19.925";"sofrer";" 8.052843e-06"
"  2";" 100";" 2.00";" -19.924";"youtube";" 8.058613e-06"
