"";"classe 1";"classe 2";"classe 3";"classe 4"
"aqui";-0,344;-53,481;-8,859;84,698
"né";-709,857;0,002;-102,084;793,627
"gente";-1,606;39,586;-175,993;14,296
"falar";-225,178;-6,431;-53,258;372,144
"então";-35,396;3,615;-190,113;144,193
"aí";-412,842;-106,986;-12,653;809,046
"porque";-134,957;-1,024;-0,154;113,271
"deus";-852,158;5970,066;-394,668;-1238,836
"senhor";-10,321;1817,561;-24,923;-1140,827
"querer";2,757;1,517;-38,347;2,306
"pessoa";-571,367;-3,787;7,859;377,591
"muito";-0,893;-2,259;-113,7;82,382
"também";22,674;-1,236;4,064;-17,187
"assim";-249,479;39,898;-103,171;183,825
"só";-7,082;-113,617;-28,063;240,397
"já";7,101;-47,449;-21,765;52,69
"dar";-39,92;-5,682;-8,559;85,567
"agora";-57,839;-0,363;38,14;7,519
"quando";-106,031;53,102;-4,721;9,059
"deputado";3388,502;-592,918;-6,178;-533,564
"dia";-91,74;209,133;9,081;-57,827
"ficar";-105,649;-47,831;-25,057;325,143
"mesmo";-107,564;-55,231;13,034;169,057
"lá";-132,596;-133,028;1,556;371,582
"coisa";-184,838;5,153;-77,348;214,544
"brasil";-16,131;-6,371;41,388;2,082
"hoje";-11,75;2,544;0,091;1,232
"tudo";-201,75;1,583;-16,775;169,96
"presidente";1582,239;-564,946;10,031;-151,574
"ano";49,687;-83,338;53,148;-3,893
"vida";-226,939;601,392;-28,147;-50,447
"ali";-174,051;-28,624;2,542;215,172
"pai";-187,101;1150,682;-67,278;-227,632
"achar";-7,373;-62,373;-51,003;200,998
"bom";-5,426;-15,12;-79,534;127,436
"precisar";-0,139;9,176;-30,313;1,115
"até";-5,394;-23,965;6,454;22,966
"oração";-304,155;2579;-141,797;-640,037
"colocar";-1,018;-28,519;2,874;21,952
"cara";-308,073;-11,073;-10,089;377,38
"orar";-298,08;2245,421;-122,308;-521,347
"educação";3722,274;-471,398;-117,776;-501,988
"vir";-32,128;144,407;-7,456;-22,938
"acontecer";-65,183;-64,793;24,01;118,192
"jesus";-271,592;2097,509;-133,494;-469,828
"país";12,9;-42,706;82,548;-7,485
"olhar";-81,938;5,955;-16,247;59,383
"pedir";2,219;92,63;-0,003;-102,498
"palavra";5,299;705,745;-92,511;-413,292
"vez";-0,526;3,532;-8,705;0,571
"deixar";-47,975;-1,883;-10,38;80,941
"escola";2045,955;-334,853;-96,059;-180,269
"mundo";-126,111;-1,115;-10,957;150,3
"bem";-16,781;-5,868;-6,022;51,459
"passar";0,113;-3,208;-16,687;16,312
"conseguir";-34,757;-17,674;-25,595;143,547
"fato";-4,459;-124,692;7,15;107,389
"chegar";-50,357;-18,059;-11,247;141,482
"filho";-73,586;200,382;-4,485;-23,114
"criança";223,235;-118,074;-17,088;0,394
"obrigar";287,648;0,384;-39,684;-105,805
"igreja";-189,656;699,616;-71,358;-62,548
"realmente";-81,875;-2,013;-10,463;116,079
"esquerdo";-2,435;-340,195;47,952;193,876
"exemplo";-6,515;-168,749;0,603;186,225
"casa";-9,921;2,723;-7,641;7,949
"inclusive";113,055;-210,859;36,535;0,867
"nada";-59,442;-11,485;1,469;74,555
"lula";-7,004;-332,059;898,002;-0,111
"homem";-134,241;216,719;9,213;-38,776
"direito";38,492;-213,535;24,896;28,112
"tô";-61,531;-4,082;-27,821;136,331
"depois";-27,128;-1,054;-4,842;43,779
"mulher";-64,104;0,97;7,554;14,552
"música";-59,567;171,5;-12,701;-12,852
"família";-55,179;173,008;-3,097;-25,436
"bolsonaro";-71,181;-288,663;530,597;59,649
"algo";-79,958;5;-14,194;58,306
"nicolas";-62,346;45,814;-5,809;2,865
"entender";-14,838;0,01;-32,852;45,608
"governo";251,964;-160,62;72,83;-44,374
"dentro";-31,054;-7,249;-3,054;66,703
"momento";-23,957;223,538;-34,657;-37,209
"coração";-177,927;1211,711;-79,851;-246,913
"forma";49,72;-40,863;-4,022;2,27
"chamar";-87,492;50,635;8,84;-0,871
"começar";-59,72;88,117;-19,314;0,167
"projeto";1343,403;-181,182;-36,972;-178,415
"dever";53,844;-68,261;13,255;-0,42
"grande";10,861;-0,129;-3,267;-1,38
"questão";393,321;-114,7;-29,312;-7,108
"ainda";3,638;-2,469;-2,265;0,783
"público";757,541;-228,635;2,264;-86,599
"ministro";178,806;-191,749;425,301;-129,303
"comissão";2420,223;-268,806;-55,597;-397,558
"acreditar";-2,263;-0,047;-5,278;8,489
"existir";-10,976;-0,199;-4,885;20,627
"entrar";-34,642;17,597;-13,545;10,714
"sempre";-33,549;17,186;-13,386;10,426
"brasileiro";90,342;-55,569;26,918;-17,341
"sim";14,955;-26,319;2,207;0,436
"professor";870,21;-190,749;-43,022;-47,657
"cristão";-125,464;10,153;-41,417;106,485
"nação";-114,165;1006,849;-53,605;-257,821
"contar";-17,723;-38,331;29,489;32,019
"pessoal";-24,628;-21,96;-15,147;119,115
"talvez";-55,435;4,147;-17,406;47,151
"hora";-62,846;1,921;0,553;21,874
"nunca";-47,844;-1,375;11,733;20,206
"importante";250,81;-44,645;-17,406;-15,726
"vídeo";-94,132;-161,139;1,763;354,509
"mostrar";-13,577;-108,059;-4,102;195,189
"ouvir";-13,302;92,073;-9,717;-15,459
"novo";56,173;1,706;-15,349;-22,754
"tomar";-40,956;-41,581;5,339;94,101
"sair";-33,601;-0,534;-0,537;34,44
"política";0,041;-50,071;-17,862;83,737
"trazer";0,073;132,399;-22,02;-61,972
"continuar";-9,025;29,041;-0,431;-4,578
"claro";5,04;-59,691;2,129;19,443
"lugar";-23,845;111,905;-4,163;-20,597
"tão";-22,172;12,953;-13,332;8,128
"meio";-3,802;1,419;-20,736;11,765
"bíblia";-121,548;493,365;-44,276;-54,251
"pastor";-79,625;375,811;-19,903;-61,926
"caso";46,331;-116,182;33,166;0,562
"jovem";-6,179;4,505;-33,699;14,526
"amém";-102,692;923,819;-51,201;-236,251
"espírito";-105,765;987,91;-58,24;-252,906
"lembrar";-18,173;5,688;-0,375;2,714
"certo";-18,056;-17,479;-31,227;120,198
"acabar";-6,412;-38,825;-0,139;65,481
"contrário";-0,028;-72,668;8,74;37,743
"viver";-74,171;236,285;-18,427;-20,255
"defender";-1,021;-109,883;41,754;40,663
"problema";57,02;-49,653;-2,014;1,763
"próprio";8,295;-30,761;15,703;0,06
"político";3,023;-32,646;15,029;1,915
"maior";-1,683;1,788;0,257;-0,266
"simplesmente";-57,582;-89,766;17,563;150,336
"lado";-17,642;-24,716;4,711;43,956
"santo";-74,101;586,031;-36,341;-134,372
"dinheiro";-1,004;-134,2;139,694;15,377
"tirar";-28,405;-7,615;-3,954;67,047
"história";-29,281;9,876;-2,889;6,665
"antes";0,384;13,076;-13,347;-2,242
"cristo";-92,225;547,367;-43,14;-93,66
"paulo";2,257;0,802;4,962;-12,237
"ponto";92,972;-49,7;-0,05;-1,31
"relação";143,112;-91,279;0,489;-1,697
"levantar";-53,589;301,785;-13,333;-61,246
"certeza";-37,24;19,735;0,19;0,305
"receber";2,688;3,827;8,03;-24,884
"milhão";1,882;-117,771;45,911;20,969
"seguinte";-1,115;-21,353;-9,966;51,838
"mão";-44,476;182,313;-2,157;-38,117
"voltar";-14,132;8,661;-6,004;3,649
"amigo";-69,229;-0,442;17,067;22,156
"federal";579,754;-151,563;12,96;-109,686
"pensar";-7,885;-1,447;-27,858;46,549
"gostar";126,711;-61,003;-6,402;-0,065
"abrir";-8,814;67,966;-3,554;-16,209
"votar";203,394;-127,265;3,395;-5,326
"segurança";438,53;-127,11;4,478;-62,786
"respeito";56,183;-42,387;-0,018;0,002
"conhecer";-39,745;40,596;-2,173;0,026
"levar";-5,974;2,289;-0,692;1,256
"lei";425,719;-59,13;-0,158;-87,906
"amor";-83,968;207,726;-13,778;-12,514
"mudar";-47,98;0,93;-28,504;67,2
"nacional";742,07;-123,746;0,744;-153,126
"graça";-81,762;310,478;-21,683;-36,062
"perder";-12,197;-2,117;-2,24;26,653
"mãe";-56,265;21,105;-1,326;6,641
"ler";7,558;18,337;-17,559;-12,249
"melhor";8,886;-2,885;-9,342;1,289
"ganhar";-16,611;-77,938;-6,787;174,464
"fossar";-11,391;-28,112;30,423;16,793
"the";-1,967;-0,069;0,011;1,736
"terra";-74,234;518,457;-18,258;-129,65
"livro";-4,547;-2,153;-30,068;44,249
"glória";-77,895;720,08;-38,306;-189,105
"pergunta";-2,417;-12,01;1,15;14,367
"menos";-0,003;-34,941;0,104;28,399
"chamado";-23,195;48,539;-1,576;-3,045
"galera";-72,982;-79,771;-19,151;327,081
"noite";-73,273;215,296;-25,708;-11,49
"debate";526,243;-127,316;-24,688;-24,493
"irmão";-66,952;128,404;-3,07;-7,518
"live";-84,978;241,386;-34,831;-9,722
"morrer";-64,791;26,261;10,495;-0,1
"através";-14,445;129,489;-4,957;-36,51
"vender";-33,977;-9,093;0;56,75
"liberdade";-15,295;-55,721;57,065;27,275
"próximo";76,73;-8,858;-8,248;-6,232
"crer";-27,95;403,186;-29,355;-117,753
"parecer";4,082;-17,557;-3,98;12,563
"universidade";289,664;-71,693;-26,108;-7,077
"aluno";779,435;-121,81;-21,628;-88,987
"social";0,934;-82,462;11,347;29,93
"amar";-66,376;329,83;-21,75;-52,29
"guerra";-59,014;2,311;-4,483;38,529
"requerimento";1058,889;-118,59;-22,52;-176,025
"crime";-10,245;-115,931;1496,572;-155,322
"rede";38,229;-86,728;16,277;1,025
"ministério";65,665;-7,69;22,199;-49,937
"favor";3,709;-2,72;1,015;-0,471
"discutir";739,528;-117,969;-17,315;-86,949
"esperar";-0,049;0,367;-3,486;0,684
"perguntar";-14,709;-20,394;16,218;22,149
"matar";-53,84;-55,051;140,581;26,821
"mandar";-47,11;-0,717;-0,262;44,898
"enfim";-13,049;-34,502;5,73;46,864
"agradecer";29,24;33,391;-21,385;-45,851
"sentido";15,76;-4;-12,449;0,841
"ensino";1091,994;-119,275;-34,291;-167,162
"justiça";-23,266;2,085;305,784;-76,611
"conta";-15,142;-95,63;274,534;2,294
"aprender";-4,284;20,376;-21,021;0,211
"sentir";-37,614;30,836;-5,438;1,791
"criar";48,162;-14,586;-3,442;-0,796
"cidade";-2,747;3,541;-12,3;3,505
"paz";-44,391;116,351;-6,715;-8,569
"minuto";252,403;-24,604;-15,375;-33,282
"força";-13,056;80,781;0,077;-31,309
"abençoar";-50,344;524,295;-33,618;-138,141
