aqui;1325;1753;705;3017
né;415;1655;430;3159
gente;889;1539;270;1966
falar;535;1262;376;2387
então;803;1462;274;2280
aí;334;920;398;2438
porque;604;1282;501;2096
deus;29;2843;37;388
senhor;528;1877;260;345
querer;770;1117;311;1517
pessoa;170;977;447;1916
muito;604;888;181;1489
também;576;697;310;884
assim;187;849;126;1282
só;426;478;195;1311
já;485;507;185;1040
dar;328;605;212;1093
agora;311;652;347;964
quando;239;768;211;910
deputado;1212;39;151;198
dia;199;794;243;562
ficar;205;426;150;1129
mesmo;210;427;270;1045
lá;175;323;226;1124
coisa;147;596;98;1051
brasil;273;453;275;706
hoje;288;537;201;712
tudo;102;501;135;900
presidente;921;46;218;396
ano;398;279;255;554
vida;79;884;113;488
ali;84;318;176;812
pai;54;877;49;230
achar;238;280;77;811
bom;233;331;52;733
precisar;253;431;87;538
até;253;343;195;665
oração;3;1136;9;60
colocar;261;320;178;638
cara;9;321;110;839
orar;2;1065;16;93
educação;1051;15;19;103
vir;164;543;109;405
acontecer;132;233;192;668
jesus;1;978;4;85
país;290;256;237;440
olhar;112;382;91;595
pedir;243;475;128;287
palavra;253;727;28;122
vez;226;378;104;487
deixar;141;325;100;618
escola;740;29;15;184
mundo;67;295;87;613
bem;153;268;93;522
passar;205;272;75;466
conseguir;116;219;59;553
fato;179;144;145;574
chegar;109;231;80;575
filho;71;436;78;273
criança;348;114;62;360
obrigar;345;241;35;177
igreja;5;567;16;209
realmente;76;253;75;528
esquerdo;157;14;165;552
exemplo;144;85;107;544
casa;133;272;72;380
inclusive;314;77;165;389
nada;78;201;106;453
lula;133;7;362;323
homem;20;387;107;205
direito;232;53;138;400
tô;74;214;46;487
depois;106;231;75;424
mulher;35;172;83;263
música;37;298;36;177
família;71;388;72;238
bolsonaro;62;16;290;415
algo;61;267;59;429
nicolas;74;328;72;351
entender;121;245;43;425
governo;322;66;160;214
dentro;91;191;72;414
momento;100;414;37;227
coração;7;658;10;96
forma;231;148;71;330
chamar;44;297;107;275
começar;61;324;45;292
projeto;506;40;27;100
dever;217;109;111;274
grande;182;213;69;280
questão;333;71;32;232
ainda;164;194;70;301
público;421;24;91;157
ministro;263;32;239;119
comissão;627;4;15;15
acreditar;118;195;58;305
existir;88;173;52;296
entrar;67;233;43;292
sempre;71;239;45;300
brasileiro;225;106;116;209
sim;164;128;84;261
professor;386;17;15;144
cristão;8;203;17;349
nação;14;517;11;45
contar;77;106;109;303
pessoal;72;126;39;372
talvez;45;194;35;314
hora;40;186;72;287
nunca;42;143;85;261
importante;267;99;35;187
vídeo;15;21;68;412
mostrar;77;54;49;385
ouvir;74;260;39;172
novo;173;169;32;158
tomar;49;92;79;327
sair;55;153;57;285
política;105;80;29;309
trazer;104;268;25;118
continuar;72;200;52;175
claro;129;79;73;268
lugar;55;251;42;148
tão;57;182;31;229
meio;82;159;25;237
bíblia;0;362;9;114
pastor;18;333;24;108
caso;155;35;95;201
jovem;72;159;14;228
amém;0;398;1;12
espírito;6;451;2;22
lembrar;59;166;51;211
certo;58;99;16;307
acabar;73;79;52;277
contrário;95;58;76;260
viver;19;287;24;139
defender;79;30;93;241
problema;153;65;42;194
próprio;120;86;82;194
político;108;82;80;202
maior;82;151;57;182
simplesmente;28;45;82;316
lado;53;83;65;245
santo;17;364;11;60
dinheiro;74;15;123;204
tirar;43;103;37;259
história;41;156;38;198
antes;97;171;28;169
cristo;8;353;7;78
paulo;95;131;62;132
ponto;168;63;49;165
relação;187;39;55;163
levantar;22;277;23;85
certeza;39;177;55;188
receber;101;148;69;125
milhão;91;20;89;206
seguinte;82;90;31;258
mão;30;251;39;108
voltar;51;147;31;182
amigo;17;120;76;219
federal;275;8;70;61
pensar;61;113;14;237
gostar;176;52;32;167
abrir;58;197;35;125
votar;181;10;53;125
segurança;239;13;57;78
respeito;144;63;47;168
conhecer;29;174;36;160
levar;61;133;41;173
lei;235;44;41;63
amor;4;236;20;116
mudar;21;118;10;226
nacional;287;14;49;35
graça;6;269;15;96
perder;45;93;32;191
mãe;16;148;35;171
ler;95;147;17;116
melhor;97;95;24;160
ganhar;40;29;25;263
fossar;48;63;76;187
the;0;2;1;5
terra;6;298;15;37
livro;47;80;5;182
glória;0;306;1;6
pergunta;59;75;47;177
menos;71;55;43;193
chamado;33;160;32;122
galera;6;27;14;304
noite;3;214;8;99
debate;236;6;10;92
irmão;7;192;28;109
live;1;234;5;111
morrer;5;131;53;120
através;35;182;23;72
vender;25;75;39;204
liberdade;33;30;76;165
próximo;128;72;21;109
crer;22;241;4;26
parecer;75;57;24;153
universidade;175;21;6;96
aluno;253;2;9;41
social;71;21;56;177
amar;4;233;9;60
guerra;6;98;22;169
requerimento;273;0;7;4
crime;40;6;253;18
rede;105;17;58;133
ministério;117;68;61;62
favor;75;78;41;118
discutir;250;4;12;43
esperar;60;96;25;131
perguntar;36;57;59;168
matar;8;28;97;159
mandar;13;83;32;179
enfim;39;48;51;191
agradecer;97;134;9;63
sentido;90;76;16;133
ensino;285;2;2;10
justiça;28;103;133;49
conta;37;16;132;144
aprender;45;123;9;123
sentir;14;122;19;120
criar;107;58;24;112
cidade;37;83;10;109
paz;11;163;18;87
minuto;165;47;12;68
força;31;149;33;65
abençoar;6;243;0;11
parar;20;49;23;172
aula;128;12;9;125
responder;48;92;25;115
junto;40;133;15;105
lutar;18;69;26;169
céu;0;228;4;33
olho;5;172;18;80
maneira;43;105;15;128
número;123;39;20;83
diferente;49;80;8;128
aprovar;220;8;19;20
voto;104;7;46;107
pt;51;0;118;99
vontade;17;194;9;54
geração;10;160;9;50
eleição;29;16;53;171
realidade;49;54;15;127
partido;69;22;44;111
gerar;33;80;24;112
frente;45;51;32;145
destruir;8;62;28;151
mentira;16;27;45;160
encontrar;57;89;36;74
perceber;20;89;11;152
obviamente;45;32;30;165
rio;116;44;31;54
processo;83;57;54;52
propósito;5;197;6;40
real;49;39;33;107
humano;31;41;48;120
basicamente;16;12;51;177
plano;140;36;24;45
fé;2;186;9;43
preciso;56;64;12;107
pauta;187;8;8;33
tratar;114;22;22;77
pagar;27;12;62;113
sofrer;18;65;56;87
vereador;44;3;15;134
preso;7;21;159;49
presença;39;156;6;15
mal;12;105;29;90
diverso;57;31;41;98
poxa;5;67;23;159
final;67;60;10;109
utilizar;57;11;20;141
presente;103;49;19;65
cair;26;67;22;120
beleza;1;29;2;208
acordo;151;20;14;31
inteiro;15;53;23;145
possível;75;31;29;88
afinal;18;9;108;107
semana;60;28;34;104
passado;82;41;29;84
mês;28;28;50;116
conversar;58;39;23;108
seguir;32;45;11;124
exatamente;41;46;26;122
geral;74;23;30;93
curso;34;4;1;170
atrás;14;62;36;116
sociedade;61;33;17;104
discussão;189;4;2;16
votação;165;4;6;16
morte;6;66;67;70
ideia;44;26;15;137
difícil;11;99;13;106
bater;11;38;21;138
apenas;106;53;17;55
além;70;41;26;80
pecado;0;166;2;26
movimento;42;27;14;96
ajudar;39;43;29;112
retirar;151;15;13;24
arma;38;45;38;82
imaginar;15;48;31;128
tema;139;25;7;44
grupo;93;17;13;67
dúvida;54;55;16;90
adolescente;55;60;11;74
mina;32;18;22;112
poderoso;2;189;2;13
forte;11;129;14;64
situação;55;63;17;77
sala;100;21;9;76
olhado;6;3;26;171
belo;36;5;14;11
ação;66;52;33;64
voz;5;129;14;51
janeiro;74;14;65;52
rua;14;22;28;131
unido;30;20;38;115
daniel;18;119;26;15
estudante;150;6;6;40
único;38;52;18;92
resposta;59;62;17;56
estudar;44;35;3;111
demais;58;33;23;97
concordar;39;11;13;116
tocar;7;121;6;47
rei;3;132;7;20
evangelho;0;159;3;29
principalmente;47;31;25;106
and;1;1;1;4
quase;35;27;39;97
stf;15;2;144;27
igual;5;33;14;144
errado;8;27;15;142
saúde;55;25;24;67
democracia;27;0;80;66
declarar;23;150;11;7
princípio;29;58;4;86
luta;33;50;17;80
gentileza;126;3;18;33
feliz;21;74;6;93
campanha;11;7;33;127
tornar;23;48;24;88
espiritual;0;147;5;42
causa;15;82;21;58
local;23;45;25;90
polícia;52;3;64;57
importar;11;65;9;89
medo;19;36;25;87
apresentar;98;41;11;40
inimigo;0;89;13;77
escrever;17;83;23;56
buscar;29;100;11;47
ordem;105;18;13;30
falta;49;28;29;67
caro;14;11;20;139
congresso;75;18;47;48
artigo;158;2;5;10
época;16;34;28;108
horizonte;33;2;8;2
cantar;0;118;2;42
criminoso;15;1;139;20
cadeia;2;11;135;25
