"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";3;4;6;9;10;12;15;16;19
"2";3;4;7;7;7;7;7;7;7
"3";3;4;6;9;10;12;15;16;19
"4";3;4;6;9;10;12;15;16;19
"5";3;4;6;9;10;12;15;16;19
"6";3;4;6;8;8;8;8;8;8
"7";3;4;6;9;10;12;15;16;19
"8";3;4;6;8;8;8;8;8;8
"9";3;4;6;8;8;8;8;8;8
"10";3;4;6;8;8;8;8;8;8
"11";3;5;5;5;5;5;5;5;5
"12";3;4;6;8;8;8;8;8;8
"13";3;4;6;8;8;8;8;8;8
"14";3;4;6;8;8;8;8;8;8
"15";3;4;6;8;8;8;8;8;8
"16";3;4;6;8;8;8;8;8;8
"17";3;4;6;8;8;8;8;8;8
"18";3;4;6;8;8;8;8;8;8
"19";3;4;6;9;10;12;15;16;19
"20";3;4;6;8;8;8;8;8;8
"21";3;4;6;8;8;8;8;8;8
"22";3;4;6;8;8;8;8;8;8
"23";3;4;7;7;7;7;7;7;7
"24";3;4;6;8;8;8;8;8;8
"25";3;4;6;8;8;8;8;8;8
"26";3;4;6;8;8;8;8;8;8
"27";3;4;6;8;8;8;8;8;8
"28";3;4;6;8;8;8;8;8;8
"29";3;4;6;8;8;8;8;8;8
"30";3;4;6;9;10;12;15;16;19
"31";3;4;6;9;10;12;15;16;19
"32";3;4;6;9;10;12;15;16;19
"33";3;4;6;8;8;8;8;8;8
"34";3;4;6;8;8;8;8;8;8
"35";3;4;6;9;10;12;15;16;19
"36";3;4;6;8;8;8;8;8;8
"37";3;4;6;8;8;8;8;8;8
"38";3;4;6;9;10;12;15;16;19
"39";3;4;6;9;10;12;15;16;19
"40";3;4;6;8;8;8;8;8;8
"41";3;4;7;7;7;7;7;7;7
"42";3;4;6;9;10;12;15;16;19
"43";3;4;6;9;10;12;15;16;18
"44";3;4;6;9;10;12;15;16;19
"45";3;4;6;8;8;8;8;8;8
"46";3;4;6;9;10;12;15;16;19
"47";3;4;7;7;7;7;7;7;7
"48";3;4;6;9;10;12;15;16;19
"49";3;4;7;7;7;7;7;7;7
"50";3;4;6;9;10;12;15;16;19
"51";3;4;6;9;10;12;15;16;19
"52";3;4;6;9;10;12;15;16;19
"53";3;4;6;9;10;12;15;16;19
"54";3;4;6;9;10;12;15;16;19
"55";3;4;6;9;10;12;15;16;19
"56";3;4;6;8;8;8;8;8;8
"57";3;4;7;7;7;7;7;7;7
"58";3;4;7;7;7;7;7;7;7
"59";3;4;7;7;7;7;7;7;7
"60";3;4;6;9;10;12;15;16;19
"61";3;4;6;9;10;12;15;16;19
"62";3;4;6;9;10;12;15;16;19
"63";3;4;6;9;10;12;15;16;19
"64";3;4;6;8;8;8;8;8;8
"65";3;4;7;7;7;7;7;7;7
"66";3;4;6;8;8;8;8;8;8
"67";3;4;6;9;10;12;15;16;19
"68";3;4;6;8;8;8;8;8;8
"69";3;4;6;8;8;8;8;8;8
"70";3;4;6;9;10;12;15;16;19
"71";3;4;6;8;8;8;8;8;8
"72";3;4;6;8;8;8;8;8;8
"73";3;4;6;8;8;8;8;8;8
"74";3;4;6;8;8;8;8;8;8
"75";3;4;6;8;8;8;8;8;8
"76";3;4;6;9;10;12;15;16;19
"77";3;4;6;8;8;8;8;8;8
"78";3;4;6;8;8;8;8;8;8
"79";3;4;6;9;10;12;15;16;19
"80";3;4;6;8;8;8;8;8;8
"81";3;4;6;8;8;8;8;8;8
"82";3;4;6;8;8;8;8;8;8
"83";3;4;6;9;10;12;15;16;19
"84";3;4;6;8;8;8;8;8;8
"85";3;4;6;8;8;8;8;8;8
"86";3;4;6;8;8;8;8;8;8
"87";3;4;6;9;10;12;15;16;19
"88";3;4;6;9;10;12;15;16;19
"89";3;4;6;8;8;8;8;8;8
"90";3;4;6;8;8;8;8;8;8
"91";3;4;6;8;8;8;8;8;8
"92";3;4;6;8;8;8;8;8;8
"93";3;4;6;8;8;8;8;8;8
"94";3;4;6;9;10;12;15;16;19
"95";3;4;6;8;8;8;8;8;8
"96";3;4;6;9;10;12;15;16;19
"97";3;4;6;9;10;12;15;16;19
"98";3;4;6;9;10;12;15;16;19
"99";3;4;6;9;10;12;15;16;19
"100";3;4;6;8;8;8;8;8;8
"101";3;4;6;9;10;12;15;16;19
"102";3;4;6;9;10;12;15;16;19
"103";3;4;6;8;8;8;8;8;8
"104";3;4;6;8;8;8;8;8;8
"105";3;4;6;8;8;8;8;8;8
"106";3;4;6;8;8;8;8;8;8
"107";3;4;6;9;10;12;15;16;19
"108";3;4;6;9;10;12;15;16;19
"109";3;4;6;8;8;8;8;8;8
"110";3;4;6;8;8;8;8;8;8
"111";3;4;6;9;10;12;15;16;19
"112";3;4;6;9;10;12;15;16;19
"113";3;4;6;8;8;8;8;8;8
"114";3;4;6;9;10;12;15;16;19
"115";3;4;6;9;10;12;15;16;19
"116";3;4;6;8;8;8;8;8;8
"117";3;4;6;8;8;8;8;8;8
"118";3;4;6;8;8;8;8;8;8
"119";3;4;6;9;10;12;15;16;19
"120";3;4;6;9;10;12;15;16;19
"121";3;4;6;9;10;12;15;16;19
"122";3;4;6;8;8;8;8;8;8
"123";3;4;7;7;7;7;7;7;7
"124";3;4;6;9;10;12;15;16;19
"125";3;4;6;8;8;8;8;8;8
"126";3;4;6;9;10;12;15;16;19
"127";3;4;6;9;10;12;15;16;19
"128";3;4;6;9;10;12;15;16;19
"129";3;4;6;9;10;12;15;16;19
"130";3;4;6;9;10;12;15;16;19
"131";3;4;6;9;10;12;15;16;19
"132";3;4;7;7;7;7;7;7;7
"133";3;4;6;8;8;8;8;8;8
"134";3;4;6;9;10;12;15;16;19
"135";3;4;6;9;10;12;15;16;19
"136";3;4;6;9;10;12;15;16;19
"137";3;4;7;7;7;7;7;7;7
"138";3;4;6;9;10;12;15;16;19
"139";3;4;7;7;7;7;7;7;7
"140";3;4;7;7;7;7;7;7;7
"141";3;4;6;9;10;12;15;16;19
"142";3;4;6;9;10;12;15;16;19
"143";3;4;6;9;10;12;15;16;19
"144";3;4;6;9;10;12;15;16;19
"145";3;4;6;9;10;12;15;16;19
"146";3;4;7;7;7;7;7;7;7
"147";3;4;6;9;10;12;15;16;19
"148";3;4;6;9;10;12;15;16;19
"149";3;4;6;9;10;12;15;16;19
"150";3;4;6;9;10;12;15;16;19
"151";3;4;6;9;10;12;15;16;19
"152";3;4;6;9;10;12;15;16;19
"153";3;4;6;9;10;12;15;16;19
"154";3;4;6;9;10;12;15;16;19
"155";3;4;6;8;8;8;8;8;8
"156";3;4;6;8;8;8;8;8;8
"157";3;4;6;9;10;12;15;16;18
"158";3;4;6;9;10;12;15;16;19
"159";3;4;6;9;10;12;15;16;19
"160";3;4;6;9;10;12;15;16;19
"161";3;4;6;9;10;12;15;16;19
"162";3;4;6;8;8;8;8;8;8
"163";3;4;6;8;8;8;8;8;8
"164";3;4;6;8;8;8;8;8;8
"165";3;4;6;9;10;12;15;16;19
"166";3;4;6;9;10;12;15;16;19
"167";3;4;6;9;10;12;15;16;19
"168";3;4;6;9;10;12;15;16;19
"169";3;4;6;9;10;12;15;16;19
"170";3;4;6;9;10;12;15;16;19
"171";3;4;6;9;10;12;15;16;19
"172";3;4;6;8;8;8;8;8;8
"173";3;4;6;8;8;8;8;8;8
"174";3;4;6;9;10;12;15;16;19
"175";3;4;6;8;8;8;8;8;8
"176";3;4;6;8;8;8;8;8;8
"177";3;5;5;5;5;5;5;5;5
"178";3;4;6;9;10;12;15;16;19
"179";3;4;6;9;10;12;15;16;19
"180";3;4;6;9;10;12;15;16;19
"181";3;4;6;8;8;8;8;8;8
"182";3;4;6;9;10;12;15;16;19
"183";3;4;6;8;8;8;8;8;8
"184";3;4;6;9;10;12;15;16;19
"185";3;4;6;8;8;8;8;8;8
"186";3;5;5;5;5;5;5;5;5
"187";3;5;5;5;5;5;5;5;5
"188";3;4;6;9;10;12;15;16;19
"189";3;4;6;9;10;12;15;16;19
"190";3;4;6;9;10;12;15;16;19
"191";3;5;5;5;5;5;5;5;5
"192";3;4;6;9;10;12;15;16;19
"193";3;5;5;5;5;5;5;5;5
"194";3;4;6;8;8;8;8;8;8
"195";3;4;6;9;10;12;15;16;19
"196";3;4;6;9;10;12;15;16;19
"197";3;4;6;8;8;8;8;8;8
"198";3;4;6;9;10;12;15;16;19
"199";3;5;5;5;5;5;5;5;5
"200";3;4;6;8;8;8;8;8;8
"201";3;4;6;8;8;8;8;8;8
"202";3;4;6;9;10;12;15;16;19
