"";"V1"
"1";4
"2";2
"3";4
"4";4
"5";4
"6";3
"7";4
"8";3
"9";3
"10";3
"11";1
"12";3
"13";3
"14";3
"15";3
"16";3
"17";3
"18";3
"19";4
"20";3
"21";3
"22";3
"23";2
"24";3
"25";3
"26";3
"27";3
"28";3
"29";3
"30";4
"31";4
"32";4
"33";3
"34";3
"35";4
"36";3
"37";3
"38";4
"39";4
"40";3
"41";2
"42";4
"43";0
"44";4
"45";3
"46";4
"47";2
"48";4
"49";2
"50";4
"51";4
"52";4
"53";4
"54";4
"55";4
"56";3
"57";2
"58";2
"59";2
"60";4
"61";4
"62";4
"63";4
"64";3
"65";2
"66";3
"67";4
"68";3
"69";3
"70";4
"71";3
"72";3
"73";3
"74";3
"75";3
"76";4
"77";3
"78";3
"79";4
"80";3
"81";3
"82";3
"83";4
"84";3
"85";3
"86";3
"87";4
"88";4
"89";3
"90";3
"91";3
"92";3
"93";3
"94";4
"95";3
"96";4
"97";4
"98";4
"99";4
"100";3
"101";4
"102";4
"103";3
"104";3
"105";3
"106";3
"107";4
"108";4
"109";3
"110";3
"111";4
"112";4
"113";3
"114";4
"115";4
"116";3
"117";3
"118";3
"119";4
"120";4
"121";4
"122";3
"123";2
"124";4
"125";3
"126";4
"127";4
"128";4
"129";4
"130";4
"131";4
"132";2
"133";3
"134";4
"135";4
"136";4
"137";2
"138";4
"139";2
"140";2
"141";4
"142";4
"143";4
"144";4
"145";4
"146";2
"147";4
"148";4
"149";4
"150";4
"151";4
"152";4
"153";4
"154";4
"155";3
"156";3
"157";0
"158";4
"159";4
"160";4
"161";4
"162";3
"163";3
"164";3
"165";4
"166";4
"167";4
"168";4
"169";4
"170";4
"171";4
"172";3
"173";3
"174";4
"175";3
"176";3
"177";1
"178";4
"179";4
"180";4
"181";3
"182";4
"183";3
"184";4
"185";3
"186";1
"187";1
"188";4
"189";4
"190";4
"191";1
"192";4
"193";1
"194";3
"195";4
"196";4
"197";3
"198";4
"199";1
"200";3
"201";3
"202";4
"203";3
"204";3
"205";3
"206";4
"207";4
"208";4
"209";3
"210";4
"211";4
"212";2
"213";4
"214";2
"215";4
"216";3
"217";4
"218";4
"219";4
"220";4
"221";4
"222";4
"223";4
"224";4
"225";1
"226";4
"227";3
"228";4
"229";4
"230";1
"231";3
"232";3
"233";3
"234";3
"235";3
"236";3
"237";3
"238";3
"239";3
"240";1
"241";3
"242";3
"243";3
"244";1
"245";3
"246";4
"247";4
"248";1
"249";3
"250";3
"251";3
"252";4
"253";3
"254";3
"255";3
"256";3
"257";3
"258";3
"259";3
"260";3
"261";4
"262";3
"263";3
"264";3
"265";3
"266";3
"267";3
"268";3
"269";3
"270";4
"271";3
"272";3
"273";3
"274";3
"275";3
"276";3
"277";3
"278";4
"279";4
"280";3
"281";3
"282";4
"283";0
"284";1
"285";4
"286";4
"287";4
"288";4
"289";2
"290";4
"291";4
"292";4
"293";3
"294";4
"295";3
"296";3
"297";4
"298";4
"299";4
"300";1
"301";4
"302";4
"303";3
"304";2
"305";3
"306";4
"307";3
"308";4
"309";4
"310";4
"311";3
"312";3
"313";3
"314";3
"315";3
"316";0
"317";4
"318";2
"319";4
"320";4
"321";4
"322";3
"323";1
"324";3
"325";3
"326";4
"327";3
"328";4
"329";4
"330";4
"331";4
"332";3
"333";1
"334";4
"335";4
"336";3
"337";1
"338";3
"339";3
"340";4
"341";1
"342";4
