"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"4";"***";"";""
"**";"classe";"1";"**";"";""
"****";"4923";"24956";"19.73";"****";""
"1051";"1188";" 88.47";"3722.274";"educação";" 0.000000e+00"
"1212";"1600";" 75.75";"3388.502";"deputado";" 0.000000e+00"
" 627";" 661";" 94.86";"2420.223";"comissão";" 0.000000e+00"
" 740";" 968";" 76.45";"2045.955";"escola";" 0.000000e+00"
" 921";"1581";" 58.25";"1582.239";"presidente";" 0.000000e+00"
" 506";" 673";" 75.19";"1343.403";"projeto";"4.181824e-294"
" 285";" 299";" 95.32";"1091.994";"ensino";"1.815156e-239"
" 273";" 284";" 96.13";"1058.889";"requerimento";"2.846856e-232"
" 386";" 562";" 68.68";" 870.210";"professor";"2.937088e-191"
" 253";" 305";" 82.95";" 779.435";"aluno";"1.597371e-171"
" 421";" 693";" 60.75";" 757.541";"público";"9.197767e-167"
" 287";" 385";" 74.55";" 742.070";"nacional";"2.126297e-163"
" 250";" 309";" 80.91";" 739.528";"discutir";"7.594624e-163"
" 220";" 267";" 82.40";" 669.392";"aprovar";"1.354982e-147"
" 189";" 211";" 89.57";" 655.596";"discussão";"1.355401e-144"
" 149";" 150";" 99.33";" 603.924";"escolar";"2.346446e-133"
" 275";" 414";" 66.43";" 579.754";"federal";"4.242838e-128"
" 158";" 175";" 90.29";" 554.081";"artigo";"1.630258e-122"
" 165";" 191";" 86.39";" 540.112";"votação";"1.782372e-119"
" 187";" 236";" 79.24";" 532.845";"pauta";"6.792339e-118"
" 236";" 344";" 68.60";" 526.243";"debate";"1.854904e-116"
" 239";" 387";" 61.76";" 438.530";"segurança";" 2.261329e-97"
" 235";" 383";" 61.36";" 425.719";"lei";" 1.388857e-94"
" 126";" 146";" 86.30";" 411.048";"meta";" 2.167263e-91"
" 333";" 668";" 49.85";" 393.321";"questão";" 1.566490e-87"
" 151";" 203";" 74.38";" 386.115";"retirar";" 5.801949e-86"
" 137";" 174";" 78.74";" 385.298";"médio";" 8.738403e-86"
" 150";" 202";" 74.26";" 382.417";"estudante";" 3.704402e-85"
" 106";" 116";" 91.38";" 377.850";"município";" 3.656593e-84"
" 119";" 143";" 83.22";" 366.115";"fundamental";" 1.312544e-81"
" 107";" 122";" 87.70";" 357.768";"infantil";" 8.621573e-80"
" 119";" 147";" 80.95";" 350.045";"relator";" 4.142774e-78"
" 151";" 216";" 69.91";" 346.479";"acordo";" 2.477364e-77"
"  88";"  92";" 95.65";" 336.156";"item";" 4.385921e-75"
" 118";" 149";" 79.19";" 334.755";"programa";" 8.856447e-75"
"  85";"  88";" 96.59";" 329.488";"moção";" 1.242787e-73"
"  82";"  83";" 98.80";" 328.780";"pne";" 1.772030e-73"
"  95";" 107";" 88.79";" 323.635";"orientação";" 2.339033e-72"
"  92";" 104";" 88.46";" 311.584";"instituto";" 9.868139e-70"
"  79";"  82";" 96.34";" 304.959";"mec";" 2.737232e-68"
"  74";"  76";" 97.37";" 290.203";"alfabetização";" 4.490030e-65"
" 175";" 298";" 58.72";" 289.664";"universidade";" 5.884921e-65"
" 126";" 180";" 70.00";" 289.378";"gentileza";" 6.794808e-65"
" 345";" 798";" 43.23";" 287.648";"obrigar";" 1.617938e-64"
" 108";" 144";" 75.00";" 279.435";"proposta";" 9.972140e-63"
" 139";" 215";" 64.65";" 276.399";"tema";" 4.575476e-62"
" 123";" 180";" 68.33";" 270.509";"qualidade";" 8.791262e-61"
" 112";" 156";" 71.79";" 268.761";"básico";" 2.113152e-60"
"  74";"  80";" 92.50";" 268.412";"repúdio";" 2.517328e-60"
"  83";"  98";" 84.69";" 262.239";"relatório";" 5.578873e-59"
"  74";"  82";" 90.24";" 258.349";"educacional";" 3.929523e-58"
"  74";"  83";" 89.16";" 253.508";"dado";" 4.462902e-57"
" 165";" 292";" 56.51";" 252.403";"minuto";" 7.771696e-57"
" 322";" 762";" 42.26";" 251.964";"governo";" 9.690303e-57"
" 116";" 171";" 67.84";" 251.663";"reunião";" 1.127156e-56"
" 267";" 588";" 45.41";" 250.810";"importante";" 1.728941e-56"
"  88";" 111";" 79.28";" 249.709";"audiência";" 3.005456e-56"
"  88";" 114";" 77.19";" 238.832";"debater";" 7.067863e-54"
"  60";"  62";" 96.77";" 233.004";"avaliação";" 1.319141e-52"
"  73";"  86";" 84.88";" 231.363";"greve";" 3.006721e-52"
" 109";" 163";" 66.87";" 230.287";"garantir";" 5.162201e-52"
"  65";"  72";" 90.28";" 226.970";"creche";" 2.729929e-51"
"  57";"  58";" 98.28";" 226.514";"regimento";" 3.432024e-51"
" 348";" 884";" 39.37";" 223.235";"criança";" 1.781028e-50"
"  80";" 102";" 78.43";" 222.894";"pl";" 2.114387e-50"
"  54";"  54";"100.00";" 220.217";"premiação";" 8.110922e-50"
" 140";" 245";" 57.14";" 218.747";"plano";" 1.696771e-49"
"  90";" 125";" 72.00";" 216.783";"municipal";" 4.552007e-49"
"  53";"  53";"100.00";" 216.130";"aprendizagem";" 6.317312e-49"
"  51";"  51";"100.00";" 207.958";"desempenho";" 3.832422e-47"
" 106";" 165";" 64.24";" 207.857";"pedro";" 4.030219e-47"
"  71";"  88";" 80.68";" 207.210";"profissional";" 5.578962e-47"
"  87";" 122";" 71.31";" 206.018";"recurso";" 1.015497e-46"
" 181";" 369";" 49.05";" 203.394";"votar";" 3.794081e-46"
" 105";" 166";" 63.25";" 199.933";"ordem";" 2.160222e-45"
"  55";"  60";" 91.67";" 196.567";"aprovação";" 1.172144e-44"
"  68";"  86";" 79.07";" 191.916";"registrar";" 1.213647e-43"
" 263";" 653";" 40.28";" 178.806";"ministro";" 8.835485e-41"
"  70";"  94";" 74.47";" 178.555";"diretor";" 1.002113e-40"
" 105";" 179";" 58.66";" 172.575";"parlamentar";" 2.026642e-39"
"  98";" 162";" 60.49";" 171.134";"acesso";" 4.182207e-39"
"  89";" 140";" 63.57";" 170.915";"violência";" 4.670474e-39"
"  46";"  49";" 93.88";" 170.473";"integral";" 5.832314e-39"
"  71";"  99";" 71.72";" 169.661";"liderança";" 8.772894e-39"
"  96";" 158";" 60.76";" 169.064";"câmara";" 1.184643e-38"
"  57";"  70";" 81.43";" 168.767";"investimento";" 1.375287e-38"
"  58";"  72";" 80.56";" 168.725";"estadual";" 1.404627e-38"
"  67";"  92";" 72.83";" 164.416";"avançar";" 1.226983e-37"
"  40";"  40";"100.00";" 163.032";"subscrever";" 2.461699e-37"
"  40";"  40";"100.00";" 163.032";"rogério";" 2.461699e-37"
"  61";"  80";" 76.25";" 161.925";"concluir";" 4.296612e-37"
"  42";"  44";" 95.45";" 159.626";"reajuste";" 1.365590e-36"
"  42";"  44";" 95.45";" 159.626";"cívico";" 1.365590e-36"
"  39";"  39";"100.00";" 158.950";"camilo";" 1.919150e-36"
"  43";"  46";" 93.48";" 158.298";"adriana";" 2.663961e-36"
"  57";"  73";" 78.08";" 157.446";"solicitar";" 4.089143e-36"
"  52";"  63";" 82.54";" 157.366";"técnico";" 4.257637e-36"
"  54";"  67";" 80.60";" 157.191";"servidor";" 4.649915e-36"
"  45";"  50";" 90.00";" 156.241";"sugestão";" 7.498229e-36"
"  47";"  54";" 87.04";" 154.836";"procedimento";" 1.520669e-35"
"  47";"  54";" 87.04";" 154.836";"mérito";" 1.520669e-35"
"  43";"  47";" 91.49";" 153.140";"vigilância";" 3.570779e-35"
"  58";"  77";" 75.32";" 150.773";"parabenizar";" 1.174703e-34"
"  58";"  77";" 75.32";" 150.773";"legislativo";" 1.174703e-34"
"  48";"  57";" 84.21";" 150.018";"prever";" 1.718001e-34"
"  45";"  52";" 86.54";" 146.889";"secretário";" 8.298915e-34"
"  36";"  36";"100.00";" 146.705";"subcomissão";" 9.102694e-34"
"  48";"  58";" 82.76";" 145.859";"favorável";" 1.393637e-33"
"  41";"  45";" 91.11";" 145.070";"pedagógico";" 2.073494e-33"
"  64";"  92";" 69.57";" 144.842";"plenário";" 2.324918e-33"
"  43";"  49";" 87.76";" 143.484";"orientar";" 4.606442e-33"
" 187";" 444";" 42.12";" 143.112";"relação";" 5.554916e-33"
"  44";"  51";" 86.27";" 142.922";"rafael";" 6.112488e-33"
"  35";"  35";"100.00";" 142.624";"ventura";" 7.101717e-33"
"  41";"  46";" 89.13";" 140.184";"bancada";" 2.426403e-32"
"  41";"  46";" 89.13";" 140.184";"ampliar";" 2.426403e-32"
"  41";"  46";" 89.13";" 140.184";"tarcísio";" 2.426403e-32"
"  54";"  72";" 75.00";" 139.313";"técnica";" 3.762094e-32"
"  34";"  34";"100.00";" 138.544";"inciso";" 5.541894e-32"
"  55";"  75";" 73.33";" 136.515";"membro";" 1.539726e-31"
"  36";"  38";" 94.74";" 135.226";"parágrafo";" 2.946904e-31"
"  50";"  65";" 76.92";" 134.635";"vice";" 3.968712e-31"
"  49";"  63";" 77.78";" 134.410";"orçamento";" 4.443390e-31"
"  76";" 125";" 60.80";" 133.839";"privado";" 5.924125e-31"
"  59";"  85";" 69.41";" 132.962";"autor";" 9.217848e-31"
"  38";"  43";" 88.37";" 128.178";"parceria";" 1.026057e-29"
" 128";" 274";" 46.72";" 127.433";"aula";" 1.493936e-29"
"  47";"  61";" 77.05";" 126.887";"propor";" 1.966772e-29"
" 176";" 427";" 41.22";" 126.711";"gostar";" 2.149178e-29"
"  78";" 134";" 58.21";" 125.990";"presidência";" 3.089618e-29"
"  55";"  79";" 69.62";" 124.585";"leitura";" 6.272473e-29"
"  49";"  66";" 74.24";" 124.197";"formação";" 7.627819e-29"
" 114";" 235";" 48.51";" 124.123";"tratar";" 7.919690e-29"
"  53";"  75";" 70.67";" 123.271";"colega";" 1.216702e-28"
"  39";"  46";" 84.78";" 123.170";"valente";" 1.279709e-28"
"  40";"  48";" 83.33";" 122.873";"conferência";" 1.486755e-28"
"  98";" 190";" 51.58";" 122.667";"apresentar";" 1.649616e-28"
"  56";"  82";" 68.29";" 122.541";"conceder";" 1.757474e-28"
" 123";" 265";" 46.42";" 120.476";"número";" 4.976499e-28"
"  81";" 145";" 55.86";" 120.264";"resultado";" 5.536471e-28"
" 116";" 245";" 47.35";" 119.201";"rio";" 9.464731e-28"
"  29";"  29";"100.00";" 118.146";"deput";" 1.610816e-27"
"  33";"  36";" 91.67";" 117.827";"santana";" 1.892167e-27"
"  68";" 113";" 60.18";" 117.291";"mesa";" 2.478348e-27"
"  40";"  50";" 80.00";" 114.938";"negociação";" 8.118431e-27"
"  31";"  33";" 93.94";" 114.926";"critério";" 8.168305e-27"
"  31";"  33";" 93.94";" 114.926";"indicador";" 8.168305e-27"
"  28";"  28";"100.00";" 114.067";"equipamento";" 1.259506e-26"
" 314";" 945";" 33.23";" 113.055";"inclusive";" 2.098848e-26"
"  30";"  32";" 93.75";" 110.871";"brito";" 6.314876e-26"
"  27";"  27";"100.00";" 109.989";"saeb";" 9.852613e-26"
"  27";"  27";"100.00";" 109.989";"evasão";" 9.852613e-26"
"  31";"  34";" 91.18";" 109.761";"alteração";" 1.105679e-25"
"  80";" 149";" 53.69";" 109.198";"pedido";" 1.468894e-25"
" 100";" 206";" 48.54";" 108.928";"sala";" 1.683269e-25"
"  32";"  36";" 88.89";" 108.903";"coordenador";" 1.704049e-25"
"  39";"  50";" 78.00";" 107.437";"seminário";" 3.570690e-25"
"  39";"  50";" 78.00";" 107.437";"portugal";" 3.570690e-25"
"  52";"  79";" 65.82";" 106.342";"esclarecer";" 6.203908e-25"
"  26";"  26";"100.00";" 105.911";"luciene";" 7.711157e-25"
"  51";"  77";" 66.23";" 105.498";"possibilidade";" 9.499123e-25"
"  32";"  37";" 86.49";" 104.292";"entidade";" 1.746168e-24"
"  55";"  87";" 63.22";" 104.285";"realizar";" 1.752021e-24"
"  27";"  28";" 96.43";" 104.143";"regimental";" 1.881984e-24"
"  37";"  47";" 78.72";" 103.501";"sessão";" 2.602206e-24"
"  93";" 190";" 48.95";" 103.235";"grupo";" 2.976750e-24"
"  28";"  30";" 93.33";" 102.766";"matrícula";" 3.770773e-24"
"  25";"  25";"100.00";" 101.834";"substitutivo";" 6.038467e-24"
" 106";" 231";" 45.89";" 100.768";"apenas";" 1.033923e-23"
"  32";"  38";" 84.21";"  99.936";"instituir";" 1.574222e-23"
"  36";"  46";" 78.26";"  99.713";"matemática";" 1.761598e-23"
"  34";"  42";" 80.95";"  99.591";"avanço";" 1.873144e-23"
"  42";"  59";" 71.19";"  98.898";"senor";" 2.658033e-23"
"  54";"  87";" 62.07";"  98.846";"incluir";" 2.729607e-23"
"  27";"  29";" 93.10";"  98.717";"federação";" 2.912293e-23"
"  27";"  29";" 93.10";"  98.717";"proposição";" 2.912293e-23"
"  83";" 165";" 50.30";"  98.064";"ok";" 4.050959e-23"
"  28";"  31";" 90.32";"  97.686";"bilinski";" 4.901768e-23"
"  37";"  49";" 75.51";"  96.480";"superior";" 9.017262e-23"
"  31";"  37";" 83.78";"  96.018";"inclusão";" 1.138230e-22"
"  53";"  86";" 61.63";"  95.681";"anterior";" 1.349886e-22"
"  26";"  28";" 92.86";"  94.671";"orador";" 2.248355e-22"
