"";"classe 1";"classe 2";"classe 3";"classe 4"
"aqui";1;1;1;0
"né";1;0,961;1;0
"gente";1;0;1;0
"falar";1;1;1;0
"então";1;0,057;1;0
"aí";1;1;1;0
"porque";1;1;1;0
"deus";1;0;1;1
"senhor";1;0;1;1
"querer";0,097;0,218;1;0,129
"pessoa";1;1;0,005;0
"muito";1;1;1;0
"também";0;1;0,044;1
"assim";1;0;1;0
"só";1;1;1;0
"já";0,008;1;1;0
"dar";1;1;1;0
"agora";1;1;0;0,006
"quando";1;0;1;0,003
"deputado";0;1;1;1
"dia";1;0;0,003;1
"ficar";1;1;1;0
"mesmo";1;1;0;0
"lá";1;1;0,212;0
"coisa";1;0,023;1;0
"brasil";1;1;0;0,149
"hoje";1;0,111;0,763;0,267
"tudo";1;0,208;1;0
"presidente";0;1;0,002;1
"ano";0;1;0;1
"vida";1;0;1;1
"ali";1;1;0,111;0
"pai";1;0;1;1
"achar";1;1;1;0
"bom";1;1;1;0
"precisar";1;0,002;1;0,291
"até";1;1;0,011;0
"oração";1;0;1;1
"colocar";1;1;0,09;0
"cara";1;1;1;0
"orar";1;0;1;1
"educação";0;1;1;1
"vir";1;0;1;1
"acontecer";1;1;0;0
"jesus";1;0;1;1
"país";0;1;0;1
"olhar";1;0,015;1;0
"pedir";0,136;0;1;1
"palavra";0,021;0;1;1
"vez";1;0,06;1;0,45
"deixar";1;1;1;0
"escola";0;1;1;1
"mundo";1;1;1;0
"bem";1;1;1;0
"passar";0,737;1;1;0
"conseguir";1;1;1;0
"fato";1;1;0,007;0
"chegar";1;1;1;0
"filho";1;0;1;1
"criança";0;1;1;0,53
"obrigar";0;0,536;1;1
"igreja";1;0;1;1
"realmente";1;1;1;0
"esquerdo";1;1;0;0
"exemplo";1;1;0,438;0
"casa";1;0,099;1;0,005
"inclusive";0;1;0;0,352
"nada";1;1;0,226;0
"lula";1;1;0;1
"homem";1;0;0,002;1
"direito";0;1;0;0
"tô";1;1;1;0
"depois";1;1;1;0
"mulher";1;0,325;0,006;0
"música";1;0;1;1
"família";1;0;1;1
"bolsonaro";1;1;0;0
"algo";1;0,025;1;0
"nicolas";1;0;1;0,091
"entender";1;0,919;1;0
"governo";0;1;0;1
"dentro";1;1;1;0
"momento";1;0;1;1
"coração";1;0;1;1
"forma";0;1;1;0,132
"chamar";1;0;0,003;1
"começar";1;0;1;0,683
"projeto";0;1;1;1
"dever";0;1;0;1
"grande";0,001;1;1;1
"questão";0;1;1;1
"ainda";0,056;1;1;0,376
"público";0;1;0,132;1
"ministro";0;1;0;1
"comissão";0;1;1;1
"acreditar";1;1;1;0,004
"existir";1;1;1;0
"entrar";1;0;1;0,001
"sempre";1;0;1;0,001
"brasileiro";0;1;0;1
"sim";0;1;0,137;0,509
"professor";0;1;1;1
"cristão";1;0,001;1;0
"nação";1;0;1;1
"contar";1;1;0;0
"pessoal";1;1;1;0
"talvez";1;0,042;1;0
"hora";1;0,166;0,457;0
"nunca";1;1;0,001;0
"importante";0;1;1;1
"vídeo";1;1;0,184;0
"mostrar";1;1;1;0
"ouvir";1;0;1;1
"novo";0;0,192;1;1
"tomar";1;1;0,021;0
"sair";1;1;1;0
"política";0,839;1;1;0
"trazer";0,788;0;1;1
"continuar";1;0;1;1
"claro";0,025;1;0,145;0
"lugar";1;0;1;1
"tão";1;0;1;0,004
"meio";1;0,234;1;0,001
"bíblia";1;0;1;1
"pastor";1;0;1;1
"caso";0;1;0;0,453
"jovem";1;0,034;1;0
"amém";1;0;1;1
"espírito";1;0;1;1
"lembrar";1;0,017;1;0,099
"certo";1;1;1;0
"acabar";1;1;1;0
"contrário";1;1;0,003;0
"viver";1;0;1;1
"defender";1;1;0;0
"problema";0;1;1;0,184
"próprio";0,004;1;0;0,807
"político";0,082;1;0;0,166
"maior";1;0,181;0,613;1
"simplesmente";1;1;0;0
"lado";1;1;0,03;0
"santo";1;0;1;1
"dinheiro";1;1;0;0
"tirar";1;1;1;0
"história";1;0,002;1;0,01
"antes";0,535;0;1;1
"cristo";1;0;1;1
"paulo";0,133;0,37;0,026;1
"ponto";0;1;1;1
"relação";0;1;0,484;1
"levantar";1;0;1;1
"certeza";1;0;0,663;0,581
"receber";0,101;0,05;0,005;1
"milhão";0,17;1;0;0
"seguinte";1;1;1;0
"mão";1;0;1;1
"voltar";1;0,003;1;0,056
"amigo";1;1;0;0
"federal";0;1;0;1
"pensar";1;1;1;0
"gostar";0;1;1;1
"abrir";1;0;1;1
"votar";0;1;0,065;1
"segurança";0;1;0,034;1
"respeito";0;1;1;0,966
"conhecer";1;0;1;0,872
"levar";1;0,13;1;0,262
"lei";0;1;1;1
"amor";1;0;1;1
"mudar";1;0,335;1;0
"nacional";0;1;0,388;1
"graça";1;0;1;1
"perder";1;1;1;0
"mãe";1;0;1;0,01
"ler";0,006;0;1;1
"melhor";0,003;1;1;0,256
"ganhar";1;1;1;0
"fossar";1;1;0;0
"the";1;1;0,918;0,188
"terra";1;0;1;1
"livro";1;1;1;0
"glória";1;0;1;1
"pergunta";1;1;0,284;0
"menos";1;1;0,747;0
"chamado";1;0;1;1
"galera";1;1;1;0
"noite";1;0;1;1
"debate";0;1;1;1
"irmão";1;0;1;1
"live";1;0;1;1
"morrer";1;0;0,001;1
"através";1;0;1;1
"vender";1;1;0,988;0
"liberdade";1;1;0;0
"próximo";0;1;1;1
"crer";1;0;1;1
"parecer";0,043;1;1;0
"universidade";0;1;1;1
"aluno";0;1;1;1
"social";0,334;1;0,001;0
"amar";1;0;1;1
"guerra";1;0,128;1;0
"requerimento";0;1;1;1
"crime";1;1;0;1
"rede";0;1;0;0,311
"ministério";0;1;0;1
"favor";0,054;1;0,314;1
"discutir";0;1;1;1
"esperar";1;0,545;1;0,408
"perguntar";1;1;0;0
"matar";1;1;0;0
"mandar";1;1;1;0
"enfim";1;1;0,017;0
"agradecer";0;0;1;1
"sentido";0;1;1;0,359
"ensino";0;1;1;1
"justiça";1;0,149;0;1
"conta";1;1;0;0,13
"aprender";1;0;1;0,646
"sentir";1;0;1;0,181
"criar";0;1;1;1
"cidade";1;0,06;1;0,061
"paz";1;0;1;1
"minuto";0;1;1;1
"força";1;0;0,781;1
"abençoar";1;0;1;1
"parar";1;1;1;0
"aula";0;1;1;0,044
"responder";1;0,178;1;0,64
"junto";1;0;1;1
"lutar";1;1;1;0
"céu";1;0;1;1
