de;4611;6054;2580;8259
que;3868;6043;2296;8233
a;3915;5573;1931;6937
o;3509;5064;2088;6836
ser;3115;4632;1880;7137
em;3064;4394;1662;5534
não;1934;2966;1340;5218
eu;1649;3328;796;4594
ir;1618;2567;1222;4276
para;2053;2983;1006;4022
ter;1771;2665;1058;4200
estar;1331;3078;1081;4152
você;363;2174;627;3892
um;1485;2155;980;3572
uma;1403;2036;825;3315
ele;587;1987;754;2816
por;1458;2078;924;2557
com;1238;1716;728;2446
se;998;1654;686;2374
poder;853;1532;627;2196
isso;891;1311;616;2588
fazer;1025;1454;580;2304
nós;954;1823;330;1083
como;737;985;426;1512
todo;717;1247;278;1284
mais;605;865;357;1582
saber;305;1213;311;1532
dizer;557;1183;400;1153
esse;781;842;360;1222
essa;662;923;271;1155
ela;293;685;185;1083
ver;324;687;212;1286
sua;284;980;220;848
meu;224;972;135;956
seu;244;844;280;738
me;221;740;148;828
eh;718;372;143;549
nosso;334;829;153;466
outro;380;392;192;783
minha;215;640;103;638
sobre;336;560;110;456
nossa;231;847;77;389
ao;504;520;196;423
quem;181;416;258;630
te;24;721;93;456
tempo;268;437;79;380
pro;367;197;160;392
haver;360;272;156;258
primeiro;334;257;101;393
verdade;100;279;118;522
nome;61;584;49;167
ó;27;295;57;394
aquele;126;443;61;254
muita;113;320;44;462
contra;171;130;173;316
aquilo;57;367;41;360
sem;175;189;97;263
mim;48;291;70;348
dois;168;140;101;281
qual;176;151;85;249
tanto;107;208;54;264
cada;127;274;35;176
tua;9;461;20;58
teu;7;484;23;53
nenhum;136;126;124;242
pouco;105;155;51;319
estado;203;69;90;245
alguma;113;141;53;312
tipo;113;77;71;301
pegar;37;135;67;276
algum;135;118;68;235
quanto;91;133;48;229
segundo;159;144;72;168
trabalho;185;68;33;224
somente;91;130;85;202
povo;39;225;59;172
alguém;41;159;78;232
ah;133;109;56;215
usar;75;129;64;189
ninguém;46;116;63;214
vário;80;97;43;233
qualquer;89;94;60;200
aquela;63;148;36;173
tentar;62;82;75;203
parte;95;131;40;152
trabalhar;59;75;32;210
10;100;72;48;106
fim;91;69;66;113
três;65;98;38;121
entre;103;88;31;99
quê;19;49;59;195
último;95;97;34;95
durante;39;74;48;147
comigo;11;114;21;141
21;21;207;8;42
desde;71;68;32;89
i;29;12;4;17
3;107;35;24;65
valor;48;43;16;115
caminho;24;114;3;81
8;49;17;98;60
1;82;37;27;66
vossa;150;26;9;19
tal;34;21;18;135
excelência;151;7;8;23
2;81;44;17;56
tu;2;113;10;54
4;71;43;23;59
este;67;56;30;39
5;80;30;32;59
cima;24;40;31;98
quatro;26;44;25;84
mil;6;50;16;80
20;46;41;14;65
30;43;42;17;66
após;89;20;27;38
000;56;15;31;66
6;43;55;22;38
maioria;75;13;20;53
in;3;2;0;2
esta;71;47;7;30
ti;1;126;1;6
bilhão;58;1;40;28
12;16;32;20;65
r;36;2;31;55
22;28;35;21;35
100;41;10;16;67
terceiro;56;31;14;36
7;47;36;21;32
15;35;30;22;42
cinco;31;25;16;58
verdadeiro;10;40;20;58
11;35;34;11;27
14;29;24;23;34
s;34;18;7;21
oi;6;9;6;79
lhe;26;38;15;25
aonde;12;55;5;27
50;32;12;14;41
2023;65;5;15;17
t;35;16;10;20
connosco;10;81;3;10
16;19;30;14;26
seis;21;17;15;32
40;22;21;8;35
17;23;10;40;19
18;21;27;10;29
2024;50;3;11;20
consigo;10;15;4;50
caramba;1;14;8;59
ai;2;17;15;39
9;31;18;13;18
si;15;26;6;26
24;15;16;10;35
n;27;22;3;21
60;20;7;13;29
sete;11;12;9;32
p;16;23;7;23
19;29;15;10;12
vos;1;44;1;7
13;16;12;8;28
sexto;29;16;1;13
c;21;11;4;25
tchau;0;17;1;13
d;19;11;5;28
2022;28;1;16;16
h;34;14;5;10
23;21;21;2;14
l;26;10;10;12
26;31;8;3;13
hein;3;5;13;34
80;16;17;2;19
cento;10;3;4;34
__;0;2;8;39
m;9;12;5;17
oito;15;3;13;22
zero;16;3;10;14
70;19;7;5;19
b;12;3;11;21
apesar;16;17;3;11
2020;11;3;6;19
v;22;14;5;5
200;11;2;6;23
25;22;5;6;11
perante;1;21;3;13
iniciar;21;14;4;3
90;17;6;4;15
olá;2;9;0;27
contigo;0;34;0;6
300;4;7;6;18
quinto;11;6;8;14
f;10;10;7;11
2021;17;1;7;6
400;5;2;17;11
2019;8;1;14;6
isto;15;10;1;7
ambos;17;3;5;2
29;11;6;4;8
28;9;12;4;9
0;16;1;0;14
2026;14;0;8;10
oh;0;24;0;5
apontar;9;8;5;5
vós;0;24;1;2
g;8;1;1;12
33;14;6;3;7
x;4;5;7;12
27;12;5;6;3
uh;0;1;1;1
500;11;3;0;9
vosso;0;16;1;2
35;5;1;6;13
31;8;8;6;3
hum;1;0;2;15
36;8;7;5;4
2016;9;0;8;6
dez;0;5;1;15
2025;12;0;4;5
74;20;0;0;1
2018;5;3;7;6
nove;4;4;4;8
u;1;3;1;3
sob;5;2;8;6
ei;0;6;1;9
38;10;2;1;6
2013;5;3;5;8
ué;2;4;4;8
600;7;0;3;8
46;5;2;4;2
che;0;0;10;7
85;4;3;4;3
34;6;9;2;2
2014;8;2;3;5
j;1;8;2;7
décimo;2;13;1;2
59;6;2;0;9
45;1;6;3;5
32;5;4;3;3
2000;5;0;3;9
99;5;2;3;6
55;3;1;2;11
2015;3;2;2;9
