"";"*_texto0";"*_texto1";"*_texto10";"*_texto100";"*_texto101";"*_texto102";"*_texto103";"*_texto104";"*_texto105";"*_texto106";"*_texto107";"*_texto108"
"bom";2;0;0;9;4;0;43;2;14;2;33;1
"tarde";2;0;0;0;3;0;7;0;3;0;1;0
"brasil";12;15;11;19;3;8;31;3;29;4;31;2
"nós";42;15;11;59;7;11;140;2;162;2;145;5
"estar";57;53;14;93;4;10;176;25;208;10;161;5
"aqui";30;14;6;101;6;21;142;9;187;18;210;7
"hoje";7;1;4;14;5;4;30;2;32;13;21;3
"por";36;18;6;100;16;8;136;15;288;6;164;3
"algo";2;2;1;1;0;2;3;1;8;0;8;0
"muito";4;4;0;23;11;5;61;2;50;5;90;0
"maior";2;1;2;5;1;0;11;0;6;1;7;0
"de";133;133;42;764;109;81;1183;49;1639;76;1302;48
"que";105;153;40;353;59;53;785;44;844;69;825;19
"mesmo";4;10;2;11;4;3;20;5;31;7;24;1
"então";10;12;1;52;9;6;58;2;111;2;75;1
"eu";45;23;10;122;34;23;286;13;421;17;278;6
"querer";15;11;5;41;4;9;105;2;140;5;101;2
"você";33;42;10;44;10;6;46;15;67;18;32;5
"realmente";5;2;0;6;0;2;9;1;3;3;14;0
"atenção";1;0;0;4;0;0;7;1;7;0;1;0
"em";51;57;12;246;55;19;435;20;537;24;445;9
"ir";51;48;15;119;18;21;259;9;296;18;229;6
"falar";8;15;2;27;2;6;74;5;93;7;93;4
"desde";2;1;0;3;0;0;8;0;8;0;5;0
"a";49;92;17;360;62;36;755;34;842;19;761;14
"fazer";13;31;7;59;11;2;111;5;158;14;120;4
"o";69;99;37;370;41;48;630;41;751;61;605;23
"dia";11;6;2;21;0;5;16;3;13;9;22;2
"ver";7;8;3;33;5;8;30;1;34;5;32;0
"criança";2;0;0;3;0;0;39;1;16;0;17;1
"pessoa";14;17;2;23;2;8;19;4;26;7;30;7
"ali";9;0;0;4;4;1;18;0;6;1;9;2
"com";19;29;5;80;18;3;173;8;159;7;143;3
"gente";12;19;4;25;3;2;166;3;116;0;126;0
"um";38;41;8;92;23;20;195;8;245;11;189;10
"ser";55;95;37;239;56;34;523;34;758;60;494;30
"ao";1;2;0;36;2;3;45;0;69;2;29;2
"para";35;37;14;146;20;12;286;16;286;20;214;3
"poder";24;35;1;52;5;7;83;6;130;8;107;2
"lutar";4;2;1;3;0;0;0;0;5;0;6;0
"esse";10;7;5;36;4;3;102;9;74;7;62;0
"país";10;15;4;18;3;4;41;5;20;1;35;1
"chegar";4;5;0;2;0;2;24;1;20;1;10;1
"final";3;1;0;4;0;0;7;0;4;0;9;0
"só";5;7;0;26;0;2;66;5;77;2;45;1
"dar";11;5;3;16;1;1;38;2;44;1;45;1
"todo";9;9;2;39;3;1;96;7;78;4;90;1
