"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"brasil";0,79535880160273;2,19644704448068;0,340476466931129;0,940253037998865;0,185583938888111;0,81441606111189;0,00666259248472931;0,0508110935504161;0,0105321507760532;0,432632353297508;0,00197131059272453
"nós";2,02200278252689;-1,03594236762685;0,889992923920118;-0,455974336308657;0,86877786746672;0,131222132533281;0,0770558972209423;0,0202261663123655;0,0188470066518847;0,508339047883753;0,00487022836946467
"estar";0,270969949567373;-0,687748415917098;0,366569903260038;-0,930390512647204;0,212455321766263;0,787544678233737;0,00252346576565951;0,0162560248242692;0,0343680709534368;0,137756918664009;0,00065220180469387
"aqui";1,47834426362114;-1,41861770760725;0,721531844541751;-0,69238125141585;0,653649835178006;0,346350164821995;0,0302868869426486;0,027889082598903;0,0138580931263858;0,428478563150739;0,0025442610737212
"hoje";3,38812393563023;1,15510983127482;0,946504422037545;0,322690841306929;0,937309510872316;0,0626904891276841;0,0381797687467532;0,00443773410967101;0,00332594235033259;0,82005668410347;0,00223667283306911
"por";1,28661578486263;-1,65084881301184;0,614720946735208;-0,78874467202319;0,513520071402772;0,486479928597229;0,0275284951971897;0,0453209834272049;0,016629711751663;0,420723005472354;0,00294358947894163
"de";0,269669813780971;-0,253871528923797;0,728112875174612;-0,685457249582321;0,662259998562983;0,337740001437017;0,00620795925917859;0,00550189356569202;0,0853658536585366;0,0776504844999752;0,000514721758555686
"que";-0,396047291979375;0,181915735500274;-0,908722049762548;0,417401768414262;0,891738374442121;0,108261625557879;0,0129551913332291;0,00273331867437264;0,0825942350332594;0,0982775715641073;0,000797734855769511
"mesmo";-1,31552974640489;0,667950774639482;-0,891648590773121;0,452728164103259;0,870817063816415;0,129182936183585;0,00767458320920666;0,00197852876869838;0,00443458980044346;0,330341627378965;0,000483927231837618
"então";-0,596699269134343;-1,34959626214863;-0,40437137444678;-0,914594878363105;0,253571674892551;0,746428325107448;0,00226972017989622;0,0116109843759777;0,00637472283813747;0,277671452961326;0,000491500283581497
"eu";1,36963026833202;-1,18959544932361;0,754984079645984;-0,655743120041001;0,697304960862388;0,302695039137613;0,0405540996703541;0,0305933237189611;0,0216186252771619;0,384342193367484;0,00319348001247152
"querer";0,931267384101719;-0,266118601405691;0,96151243597477;-0,274761415533303;0,955120254616188;0,0448797453838121;0,00745150420217335;0,00060847904945614;0,0085920177383592;0,223291125053502;0,000428388781141192
"você";-0,263624140094375;-0,218604805516342;-0,769772788554785;-0,638317988153702;0,716498672123949;0,283501327876051;0,00163727921714035;0,00112582737931298;0,0235587583148559;0,0729799527306045;0,000125475678366881
"em";-0,134287279995199;-0,636593460064045;-0,206404325092052;-0,978466787675134;0,0717803415696205;0,928219658430379;0,000599769630881669;0,0134784223967731;0,0332594235033259;0,117451404216453;0,000458808171366406
"ir";0,35006108573315;-0,399554428974939;0,658985281601871;-0,752155834007889;0,571544947990443;0,428455052009557;0,00387191659281945;0,00504417587453929;0,0315964523281596;0,108503747182565;0,000371987028659369
"falar";-1,17855759766841;-0,260271353699959;-0,976472259856337;-0,21564305166422;0,972702565672718;0,0272974343272823;0,00962443189455323;0,000469381773536649;0,0069290465631929;0,280018598582288;0,000543309420399034
"a";-0,994187518700629;0,117372589221691;-0,993103072675665;0,117244560821186;0,992043571673375;0,00795642832662529;0,0432839783619008;0,000603286946423337;0,0437915742793792;0,233899357838862;0,00239578927837979
"fazer";-1,15824785459255;0,781838732000199;-0,82884156270053;0,55948339022722;0,792271517853255;0,207728482146745;0,0189629830172064;0,0086404828008979;0,0141352549889135;0,30492327758102;0,00131427063906551
"o";-0,080574915668732;0,810423797495989;-0,0989354013832896;0,995093858062207;0,0168883622324531;0,983111637767547;0,000368881649717232;0,0373174279288534;0,0568181818181818;0,145288817292655;0,00119936593353968
"dia";1,16613494064325;-1,46771968266353;0,622076069467684;-0,782956808384497;0,523136378727715;0,476863621272285;0,00716118162305754;0,0113441852191465;0,00526607538802661;0,377804776107061;0,000751660900259651
"ver";0,211605429467272;0,346801011734129;0,520861116526502;0,853641433677376;0,392834344039593;0,607165655960407;0,000223387871408125;0,000600021327970253;0,00498891352549889;0,0791130592271238;3,12249918306373e-05
"pessoa";-0,518085379129314;-1,08962764883521;-0,429403188563247;-0,903112895296993;0,282061138495786;0,717938861504214;0,00245499201281309;0,0108593452418246;0,00914634146341464;0,228589251466478;0,000477924200176872
"com";-0,728569820196269;-0,316847533653919;-0,917034131767448;-0,398808727554354;0,901851434187306;0,0981485658126945;0,00779743378429702;0,00147472146836926;0,014689578713969;0,179775197169033;0,000474754279492718
"gente";-0,664292866427486;0,00536494415962455;-0,999967389309512;0,00807590970221068;0,999962469393271;3,75306067290291e-05;0,00428075815785078;2,79210616478973e-07;0,00970066518847007;0,155666024800161;0,000235065658175708
