"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"adj";-0,710014890342675;-0,899495844471213;-0,619583321054189;-0,784930893946379;0,575693343968366;0,424306656031636;0,0234152260480383;0,037580431625609;0,0464476174092551;0,0858584300225506;0,000342396508103054
"adv";-0,161043538882808;1,6867075122791;-0,0950458081722873;0,995472899856584;0,0194645832790149;0,980535416720985;0,00181585303909696;0,199192803787261;0,0700154825391364;0,105908749584802;0,000785340089130706
"nom";0,268043190985635;0,00487365548447615;0,999834742023409;0,0181793466049781;0,9998482043273;0,000151795672700185;0,0126069319247268;4,16782524290242e-06;0,175468776879408;0,0245951136771754;0,000106144505269059
"pro_per";1,89591327990241;-0,0454438893491809;0,999712857837453;-0,0239625097698863;0,999736230419493;0,000263769580506825;0,227553978442627;0,000130736990390239;0,0633063822466885;0,17397499920994;0,00191611328553868
"ver_sup";-0,409796182367128;-0,952336327223975;-0,395265076554845;-0,918567101117873;0,287347630752917;0,712652369247083;0,0207713337465064;0,112178407230032;0,12368828487872;0,0701415224402314;0,000608525726715616
"pre";0,901857949165734;0,381878735937608;0,920848695827472;0,389920093599759;0,923925863874012;0,0760741361259883;0,0940254077134253;0,0168585377502146;0,115602958885257;0,0860856306653208;0,000856702986811445
"pro_rel";-0,979193570057267;-0,274709667487472;-0,962827188749055;-0,270118130834623;0,965116833700309;0,034883166299691;0,0491533415099202;0,00386868907973526;0,0512644073628075;0,0914512609162548;0,000428741316137198
"ver";0,24622137524194;1,35828925728142;0,178366284938456;0,98396416011827;0,0667770396063681;0,933222960393632;0,00601765098335123;0,18313022202295;0,0992602786857045;0,0874225081040514;0,000758616027986942
"art_def";-1,30201567437153;-0,324484236083508;-0,970321039704473;-0,241820346345859;0,972268943125243;0,0277310568747574;0,149897786957321;0,0093100068821405;0,0884225012902116;0,121152978626998;0,00129786938488209
"conj";-0,880860670226714;0,845913665079232;-0,721269734756851;0,692654293081174;0,702489303135655;0,297510696864345;0,0288315417849797;0,026589214624779;0,0371580939274041;0,0964269548261103;0,000345501814085658
"adv_sup";-0,913147741115492;-1,5236053295058;-0,514075346389362;-0,857745031017177;0,43889239736732;0,561107602632679;0,0312707479388858;0,0870564867747238;0,0375021503526578;0,126465804291281;0,000599794378943552
"pro_dem";4,17887712225899;-2,26723488301447;0,878967916605664;-0,476880909219375;0,880920797359549;0,119079202640451;0,156214816472193;0,045982867498262;0,00894546705659728;0,408509593219722;0,00149282032739244
"pro_ind";-0,775742133554398;-0,328476813504094;-0,920848695827471;-0,38992009359976;0,923925863874011;0,0760741361259887;0,0129403031518048;0,00232016637299594;0,0215035265783588;0,0740474160730824;0,000117904262581717
"pro_pos";-1,15630738143711;-0,541406466632677;-0,905643247018644;-0,424040456949013;0,908532659383138;0,0914673406168616;0,0181707713863598;0,00398358094044774;0,0135902287975228;0,111304857097352;0,000168366235311113
"nom_sup";-1,41138081844364;1,52432174299779;-0,679400722032021;0,733767441974887;0,651185350382433;0,348814649617567;0,0143925381414358;0,0167881274039884;0,00722518493032857;0,160473376315107;0,000186060827326808
"adj_num";3,08130093523507;-3,13210352858453;0,701301830252185;-0,712864463194046;0,678199518097673;0,321800481902327;0,0473659122915766;0,0489406679682399;0,00498881816617925;0,343294201198255;0,000587936753606414
"num";2,81930288035745;-2,63419282971148;0,730687561261786;-0,682712009428063;0,71382643643354;0,28617356356646;0,0628985999715851;0,0549101506534931;0,00791329778083606;0,306165683484374;0,000741772163116957
"nr";0,360761200396445;-0,625755053090049;0,499461365754156;-0,866336161151659;0,41987906818968;0,580120931810321;0,00322405035170372;0,00969998136097595;0,0247720626182694;0,0510821068504686;6,46397653880452e-05
"ono";-2,74058064720482;5,87703197685361;-0,422627841514167;0,90630331985328;0,32135571847883;0,678644281521171;0,0180889303240444;0,0831847699978388;0,00240839497677619;0,443568462602991;0,000473858891144629
"adj_sup";-6,43102601897227;-10,6276317901918;-0,517715008575871;-0,855553136804071;0,443632901271795;0,556367098728205;0,0213442778204189;0,05828998321068;0,000516084637880612;0,885889355085053;0,00040502319772218
