"";"banalfreq";"X._texto0";"X._texto1";"X._texto10"
"brasil";38;-0,6915;-0,6245;1,9176
"estar";124;1,0996;-0,6595;-0,6334
"de";308;1,0381;-0,9279;-0,3271
"que";298;-1,1786;1,319;-0,3679
"mesmo";16;-0,7519;0,8191;-0,2155
"então";23;0,3739;0,433;-0,8302
"querer";31;0,6975;-0,8413;0,3563
"você";85;-0,3021;0,4741;-0,4647
"em";120;0,5618;0,3439;-0,9054
"ir";114;0,8478;-0,7186;-0,3317
"falar";25;-0,5358;0,9028;-0,5221
"fazer";51;-1,5917;1,5507;-0,2373
"o";205;-1,3404;0,4816;1,2609
"dia";19;1,0949;-0,8562;-0,3077
"ver";18;-0,2351;-0,2803;0,3279
"pessoa";33;0,3687;0,4628;-0,853
"com";53;-0,4593;0,8399;-0,6386
"gente";35;-0,4844;0,6453;-0,3493
"um";87;0,6195;0,3011;-0,909
"para";86;0,3491;-0,5383;0,5087
"esse";22;0,4488;-0,9243;0,7356
"país";29;-0,439;0,4513;-0,2086
"só";12;0,2622;0,5261;-0,7854
"dar";19;1,0949;-1,2269;0,2945
"todo";20;0,4144;-0,2713;-0,3409
"porque";22;0,2793;-0,4236;0,4318
"não";161;-1,0385;0,3963;1,0747
"ter";86;-0,9534;0,5301;0,6724
"tudo";15;0,2363;0,666;-0,9822
"acontecer";16;-1,1531;1,6948;-0,4903
"nosso";22;-0,3239;-0,6412;1,1234
"pro";29;0,9113;-0,6423;-0,3899
"ele";66;0,4516;0,3735;-0,7827
"lula";30;0,5776;-0,9987;0,6307
"primeiro";12;-0,3437;-0,5741;1,13
"já";13;0,3874;-1,1239;1,019
"seu";19;0,7626;-0,5703;-0,3077
"colocar";14;0,5336;-0,8574;0,509
"ano";16;0,3418;-0,7855;0,7574
"até";12;0,2622;0,2862;-0,3148
"depois";10;0,8037;-0,3337;-0,6543
"bolsonaro";18;-0,407;0,5267;-0,2757
"chamar";10;0,4517;-1,0809;0,8138
"vir";11;-0,5105;-0,7866;1,9335
"mais";22;-1,1038;0,778;0,4318
"saber";31;-0,4001;0,8732;-0,7664
"quem";14;0,5336;-1,8995;1,4519
"uma";60;-1,5878;1,896;-0,4137
"outro";13;0,6647;-0,2218;-0,851
"lá";19;-0,4887;0,9561;-0,6318
"agora";17;-0,5555;0,6579;-0,2449
"como";24;-0,4598;0,7698;-0,484
"se";46;0,4704;-1,1503;1,0063
"sua";21;-1,3914;1,7291;-0,3752
"também";13;0,6647;-0,2218;-0,851
"esquerdo";10;-0,7553;1,4662;-0,6543
"parar";15;0,4276;0,4056;-0,9822
"essa";19;0,7626;-0,5703;-0,3077
"coisa";16;-1,1531;1,2045;-0,2155
"pt";10;-0,7553;0,5294;0,3794
