"";"X._texto0";"X._texto1";"X._texto10"
"brasil";8,43;8,93;21,83
"nós";29,49;8,93;21,83
"estar";40,03;31,55;27,78
"aqui";21,07;8,33;11,9
"hoje";4,92;0,6;7,94
"por";25,28;10,71;11,9
"de";93,4;79,17;83,33
"que";73,74;91,07;79,37
"mesmo";2,81;5,95;3,97
"então";7,02;7,14;1,98
"eu";31,6;13,69;19,84
"querer";10,53;6,55;9,92
"você";23,17;25;19,84
"em";35,81;33,93;23,81
"ir";35,81;28,57;29,76
"falar";5,62;8,93;3,97
"a";34,41;54,76;33,73
"fazer";9,13;18,45;13,89
"o";48,46;58,93;73,41
"dia";7,72;3,57;3,97
"ver";4,92;4,76;5,95
"pessoa";9,83;10,12;3,97
"com";13,34;17,26;9,92
"gente";8,43;11,31;7,94
"um";26,69;24,4;15,87
"ser";38,62;56,55;73,41
"para";24,58;22,02;27,78
"poder";16,85;20,83;1,98
"esse";7,02;4,17;9,92
"país";7,02;8,93;7,94
"só";3,51;4,17;0
"dar";7,72;2,98;5,95
"todo";6,32;5,36;3,97
"porque";6,32;5,36;7,94
"não";38,62;45,83;57,54
"ter";19,66;25,6;29,76
"tudo";4,21;5,36;0
"acontecer";2,11;7,14;1,98
"nosso";5,62;4,76;11,9
"pro";10,53;6,55;5,95
"ele";19,66;19,05;11,9
"lula";9,83;5,95;11,9
"primeiro";2,81;2,38;7,94
"já";4,21;1,79;7,94
"presidente";2,11;1,79;11,9
"seu";7,02;4,17;3,97
"colocar";4,92;2,38;5,95
"ano";4,92;2,98;7,94
"até";3,51;3,57;1,98
"depois";4,21;2,38;0
"aí";8,43;15,48;0
"cair";6,32;0;1,98
"bolsonaro";4,21;5,95;3,97
"dizer";8,43;2,38;19,84
"chamar";3,51;1,19;5,95
"vir";2,11;1,79;9,92
"moral";6,32;0,6;5,95
"mais";3,51;7,74;7,94
"saber";7,72;10,71;3,97
"quem";4,92;1,19;9,92
"uma";11,24;22,02;13,89
"outro";4,92;3,57;0
"lá";4,21;7,14;1,98
"agora";3,51;5,95;3,97
"como";5,62;8,33;3,97
"se";14,04;9,52;19,84
"sua";2,81;8,93;3,97
"também";4,92;3,57;0
"esquerdo";1,4;4,76;0
"isso";2,81;15,48;5,95
"parar";4,92;4,76;0
"essa";7,02;4,17;3,97
"coisa";2,11;6,55;3,97
"pt";1,4;3,57;3,97
