"";"X._texto0";"X._texto1";"X._texto10"
"adj";41,72;48,78;52,29
"adv";72,58;73,17;50,98
"nom";180,36;171,1;176,47
"pro_per";75,62;52,06;66,67
"ver_sup";114,73;126,32;141,18
"pre";127,77;106,66;111,11
"pro_rel";45,63;55,7;52,29
"ver";106,04;99,38;78,43
"art_def";75,62;98,65;90,2
"conj";34,77;40,77;31,37
"adv_sup";32,16;39,68;45,75
"pro_dem";12,17;5,1;13,07
"pro_ind";19,56;22,93;22,22
"pro_pos";11,73;14,93;14,38
"nom_sup";6,52;8,37;5,23
"adj_num";6,08;3,28;7,84
"num";9,56;5,46;11,76
"nr";25,21;23,66;27,45
"ono";2,17;3,28;0
"adj_sup";0;0,73;1,31
"pro_int";0;0;0
"adj ";0;0;0
"sw";0;0;0
