"";"*_texto0";"*_texto1";"*_texto10"
"brasil";12;15;11
"nós";42;15;11
"estar";57;53;14
"aqui";30;14;6
"hoje";7;1;4
"por";36;18;6
"de";133;133;42
"que";105;153;40
"mesmo";4;10;2
"então";10;12;1
"eu";45;23;10
"querer";15;11;5
"você";33;42;10
"em";51;57;12
"ir";51;48;15
"falar";8;15;2
"a";49;92;17
"fazer";13;31;7
"o";69;99;37
"dia";11;6;2
"ver";7;8;3
"pessoa";14;17;2
"com";19;29;5
"gente";12;19;4
"um";38;41;8
"ser";55;95;37
"para";35;37;14
"poder";24;35;1
"esse";10;7;5
"país";10;15;4
"só";5;7;0
"dar";11;5;3
"todo";9;9;2
"porque";9;9;4
"não";55;77;29
"ter";28;43;15
"tudo";6;9;0
"acontecer";3;12;1
"nosso";8;8;6
"pro";15;11;3
"ele";28;32;6
"lula";14;10;6
"primeiro";4;4;4
"já";6;3;4
"presidente";3;3;6
"seu";10;7;2
"colocar";7;4;3
"ano";7;5;4
"até";5;6;1
"depois";6;4;0
"aí";12;26;0
"cair";9;0;1
"bolsonaro";6;10;2
"dizer";12;4;10
"chamar";5;2;3
"vir";3;3;5
"moral";9;1;3
"mais";5;13;4
"saber";11;18;2
"quem";7;2;5
"uma";16;37;7
"outro";7;6;0
"lá";6;12;1
"agora";5;10;2
"como";8;14;2
"se";20;16;10
"sua";4;15;2
"também";7;6;0
"esquerdo";2;8;0
"isso";4;26;3
"parar";7;8;0
"essa";10;7;2
"coisa";3;11;2
"pt";2;6;2
