"";"X._texto0";"X._texto1";"X._texto10"
"brasil";-0,6915;-0,6245;1,9176
"nós";3,8358;-4,6653;0,4576
"estar";1,0996;-0,6595;-0,6334
"aqui";2,6044;-2,2663;-0,3566
"hoje";0,828;-2,2115;1,13
"por";3,0238;-2,2025;-0,6071
"de";1,0381;-0,9279;-0,3271
"que";-1,1786;1,319;-0,3679
"mesmo";-0,7519;0,8191;-0,2155
"então";0,3739;0,433;-0,8302
"eu";3,1189;-2,8508;-0,3343
"querer";0,6975;-0,8413;0,3563
"você";-0,3021;0,4741;-0,4647
"em";0,5618;0,3439;-0,9054
"ir";0,8478;-0,7186;-0,3317
"falar";-0,5358;0,9028;-0,5221
"a";-1,8175;2,76;-0,8523
"fazer";-1,5917;1,5507;-0,2373
"o";-1,3404;0,4816;1,2609
"dia";1,0949;-0,8562;-0,3077
"ver";-0,2351;-0,2803;0,3279
"pessoa";0,3687;0,4628;-0,853
"com";-0,4593;0,8399;-0,6386
"gente";-0,4844;0,6453;-0,3493
"um";0,6195;0,3011;-0,909
"ser";-2,6685;0,88;1,8229
"para";0,3491;-0,5383;0,5087
"poder";0,2877;1,3615;-2,917
"esse";0,4488;-0,9243;0,7356
"país";-0,439;0,4513;-0,2086
"só";0,2622;0,5261;-0,7854
"dar";1,0949;-1,2269;0,2945
"todo";0,4144;-0,2713;-0,3409
"porque";0,2793;-0,4236;0,4318
"não";-1,0385;0,3963;1,0747
"ter";-0,9534;0,5301;0,6724
"tudo";0,2363;0,666;-0,9822
"acontecer";-1,1531;1,6948;-0,4903
"nosso";-0,3239;-0,6412;1,1234
"pro";0,9113;-0,6423;-0,3899
"ele";0,4516;0,3735;-0,7827
"lula";0,5776;-0,9987;0,6307
"primeiro";-0,3437;-0,5741;1,13
"já";0,3874;-1,1239;1,019
"presidente";-0,6263;-0,9512;2,5009
"seu";0,7626;-0,5703;-0,3077
"colocar";0,5336;-0,8574;0,509
"ano";0,3418;-0,7855;0,7574
"até";0,2622;0,2862;-0,3148
"depois";0,8037;-0,3337;-0,6543
"aí";-0,6915;2,2843;-2,4969
"cair";2,8301;-2,7263;-0,2346
"bolsonaro";-0,407;0,5267;-0,2757
"dizer";0,5147;-3,0659;2,7753
"chamar";0,4517;-1,0809;0,8138
"vir";-0,5105;-0,7866;1,9335
"moral";1,5369;-2,4529;0,5701
"mais";-1,1038;0,778;0,4318
"saber";-0,4001;0,8732;-0,7664
"quem";0,5336;-1,8995;1,4519
"uma";-1,5878;1,896;-0,4137
"outro";0,6647;-0,2218;-0,851
"lá";-0,4887;0,9561;-0,6318
"agora";-0,5555;0,6579;-0,2449
"como";-0,4598;0,7698;-0,484
"se";0,4704;-1,1503;1,0063
"sua";-1,3914;1,7291;-0,3752
"também";0,6647;-0,2218;-0,851
"esquerdo";-0,7553;1,4662;-0,6543
"isso";-3,2531;3,8266;-0,5182
"parar";0,4276;0,4056;-0,9822
"essa";0,7626;-0,5703;-0,3077
"coisa";-1,1531;1,2045;-0,2155
"pt";-0,7553;0,5294;0,3794
