"";"X._texto0";"X._texto1";"X._texto10"
"adj";-1,034;0,6378;0,6395
"adv";0,5457;0,6986;-1,8617
"nom";0,6495;-0,671;0,3134
"pro_per";2,9313;-3,308;0,4377
"ver_sup";-1,2984;0,5294;1,179
"pre";1,9672;-1,6217;-0,4382
"pro_rel";-1,1927;1,0851;0,3256
"ver";1,0551;0,2962;-1,6905
"art_def";-2,5341;2,2716;0,3487
"conj";-0,62;1,0209;-0,6723
"adv_sup";-1,3274;0,6495;0,9236
"pro_dem";1,5937;-2,677;0,8606
"pro_ind";-0,6348;0,5735;0,3169
"pro_pos";-0,7173;0,6272;0,3278
"nom_sup";-0,4381;0,6878;-0,4741
"adj_num";0,6585;-1,2433;0,7611
"num";0,7973;-1,5069;0,8459
"nr";0,334;-0,4765;0,468
"ono";-0,3021;0,8058;-0,859
"adj_sup";-0,6567;0,3383;0,462
"pro_int";0;0;0
"adj ";0;0;0
"sw";0;0;0
