;Religião;Atuação Política;Kairós;Família;Pátria;Esquerda;Verdade;Educação
Dia 21/21 - Oração pelo Brasil -  Edésio de Oliveira e Rodrigo Aldeia;0,884;0,014;0,127;0,266;0,102;0,028;0,014;0,002
NIKOLAS FERREIRA - VIGÍLIA DE ENCERRAMENTO - 21 Dias de Oração pelo Brasil;0,807;0,019;0,096;0,198;0,169;0,015;0,010;0,002
Dia 13/21 - Oração pelo Brasil -  Cassiane e Elizeu Rodrigues;0,702;0,000;0,134;0,066;0,049;0,028;0,021;0,004
NIKOLAS, JULIO CESAR E DAVI SILVA - 21 Dias de Oração pelo Brasil;0,691;0,004;0,101;0,178;0,107;0,064;0,034;0,000
Dia 10/21 - Oração pelo Brasil - Eyshila, Michelle e Bolsonaro;0,667;0,007;0,167;0,099;0,098;0,019;0,012;0,000
Dia 19/21 - Oração pelo Brasil -  Guilherme Batista e David Miranda;0,640;0,006;0,112;0,109;0,101;0,026;0,023;0,020
Dia 16/21 - Oração pelo Brasil - Gabriel Guedes E Gustavo Paiva;0,637;0,003;0,109;0,170;0,077;0,026;0,012;0,024
Dia 18/21 - Oração pelo Brasil -  Teofilo Hayashi + Dunamis Music;0,611;0,001;0,080;0,090;0,085;0,037;0,024;0,018
Dia 05/21 - Oração pelo Brasil - Fernandinho;0,605;0,003;0,153;0,096;0,087;0,014;0,029;0,000
Dia 01/21 - Oração pelo Brasil - Edésio;0,602;0,006;0,126;0,098;0,064;0,022;0,025;0,000
NIKOLAS, BRUNA KARLA E JOÃO ANTÔNIO MARTINS - 21 Dias de Oração pelo Brasil;0,599;0,004;0,093;0,023;0,047;0,021;0,014;0,000
Dia 02/21 - Oração pelo Brasil - Camilla Barros e Marcus Salles;0,597;0,001;0,080;0,046;0,049;0,024;0,012;0,004
Dia 17/21 - Oração pelo Brasil -  Gabriela Rocha e Mac Anderson;0,594;0,005;0,160;0,121;0,038;0,021;0,017;0,000
Dia 03/21 - Oração pelo Brasil - Gabriela Lopes e Arthur Callazans;0,580;0,000;0,115;0,148;0,106;0,027;0,010;0,000
Dia 06/21 - Oração pelo Brasil - Padre Chrystian + Álvaro e Daniel;0,577;0,000;0,092;0,143;0,076;0,022;0,021;0,000
Dia 04/21 - Oração pelo Brasil - Brunão Morada e Ezenete Rodrigues;0,557;0,002;0,164;0,070;0,112;0,028;0,017;0,006
Dia 15/21 - Oração pelo Brasil - Pastor Anderson;0,555;0,017;0,079;0,069;0,062;0,045;0,038;0,041
21 DIAS DE  ACABOU? TENHO UMA NOTÍCIA;0,540;0,000;0,300;0,073;0,125;0,058;0,030;0,024
Dia 08/21 - Oração pelo Brasil - Josué Valandro;0,536;0,022;0,105;0,088;0,077;0,020;0,042;0,005
Dia 12/21 - Oração pelo Brasil -  Leandro Aguiari e André Fernandes;0,519;0,003;0,120;0,146;0,049;0,034;0,019;0,035
NIKOLAS, HANANIEL EDUARDO E JULIO VERTULHO - 21 Dias de Oração pelo Brasil;0,517;0,006;0,154;0,099;0,176;0,020;0,024;0,005
Dia 11/21 - Oração pelo Brasil - David Quinlan e Andre Valadao;0,516;0,003;0,118;0,127;0,138;0,046;0,014;0,018
NIKOLAS E SILAS MALAFAIA - 21 Dias de Oração pelo Brasil;0,513;0,007;0,073;0,036;0,128;0,020;0,035;0,005
NIKOLAS E MARLENE GUERRATO - 21 Dias de Oração pelo Brasil;0,500;0,000;0,047;0,118;0,052;0,057;0,019;0,004
GENERAL DO LULA PERDE A LINHA NA CPMI;0,490;0,057;0,056;0,000;0,006;0,015;0,013;0,000
21 Dias de Oração Pelo Brasil - Nikolas Ferreira;0,489;0,000;0,176;0,084;0,115;0,007;0,033;0,000
Dia 20/21 - Oração pelo Brasil - Raquel Lima, Eliel Lima e Midian Lima;0,480;0,014;0,116;0,112;0,062;0,043;0,029;0,000
Dia 14/21 - Oração pelo Brasil -  Arthur Pereira e Talitha Pereira;0,479;0,010;0,099;0,072;0,080;0,016;0,021;0,016
NIKOLAS E EDÉSIO DE OLIVEIRA - 21 Dias de Oração pelo Brasil;0,469;0,000;0,101;0,186;0,012;0,004;0,028;0,000
NIKOLAS, VIVIANE MARTINELLO E ISAIAS SAAD - 21 Dias de Oração pelo Brasil;0,458;0,006;0,109;0,333;0,085;0,072;0,019;0,009
NIKOLAS E NICK MORETTI - 21 Dias de Oração pelo Brasil;0,455;0,004;0,054;0,034;0,069;0,015;0,013;0,042
NIKOLAS E JUDA BERTELLI - 21 Dias de Oração pelo Brasil;0,443;0,002;0,144;0,134;0,036;0,041;0,017;0,003
Dia 07/21 - Oração pelo Brasil - Ana Campagnolo e Jefferson & Suellen;0,440;0,002;0,145;0,138;0,053;0,036;0,038;0,016
NIKOLAS DESTRUIU O “MONTANHA”;0,435;0,130;0,033;0,000;0,000;0,000;0,055;0,000
NIKOLAS DESMASCARA MINISTRO DE DIR. HUMANOS DO LULA;0,420;0,169;0,029;0,028;0,052;0,071;0,030;0,027
NIKOLAS E LAMARTINE POSELLA - 21 Dias de Oração pelo Brasil;0,419;0,017;0,102;0,033;0,103;0,058;0,099;0,004
NIKOLAS E JUNIOR TROVÃO - 21 Dias de Oração pelo Brasil;0,414;0,004;0,120;0,090;0,084;0,192;0,027;0,000
CHÁ REVELAÇÃO DO NIKOLAS - TUDO O QUE ACONTECEU;0,413;0,000;0,109;0,297;0,000;0,046;0,000;0,000
NIKOLAS E GUSTAVO PAIVA - 21 Dias de Oração pelo Brasil;0,408;0,000;0,106;0,085;0,107;0,026;0,034;0,000
21 dias de oração pelo Brasil;0,388;0,000;0,264;0,000;0,031;0,037;0,059;0,000
NIKOLAS E CORONEL TERRA - 21 Dias de Oração pelo Brasil;0,387;0,000;0,130;0,104;0,083;0,015;0,019;0,012
NIKOLAS, LUMA ELPIDIO E PAULO BORGES JR - 21 Dias de Oração pelo Brasil;0,384;0,011;0,067;0,262;0,112;0,121;0,028;0,003
CAIU A NARRATIVA - NIKOLAS DÁ EXPOSED NO HACKER;0,380;0,116;0,038;0,000;0,034;0,045;0,048;0,000
NIKOLAS E SANDRA ALVES - 21 Dias de Oração pelo Brasil;0,363;0,005;0,098;0,094;0,136;0,038;0,019;0,007
NIKOLAS E KRIGNER - 21 Dias de Oração pelo Brasil;0,358;0,003;0,050;0,028;0,104;0,010;0,060;0,009
NIKOLAS E GILES STEVENS - 21 Dias de Oração pelo Brasil;0,355;0,012;0,100;0,082;0,076;0,031;0,053;0,022
MINISTRO NÃO AGUENTOU AS PERGUNTAS;0,340;0,223;0,067;0,012;0,040;0,026;0,120;0,000
